Sample,Sub_Sample,Date_std,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG
1,1,2022-07-06,,,,,,,,,,,,,,,
1,2,2022-07-06,,,,,,,,,,,,,,,
2,1,2022-07-06,,,,,,,,,,,,,,,
2,2,2022-07-06,,,,,,,,,,,,,,,
3,1,2022-07-06,,,,,,,,,,,,,,,
3,2,2022-07-06,,,,,,,,,,,,,,,
4,1,2022-07-06,,,,,,,,,,,,,,,
4,2,2022-07-06,,,,,,,,,,,,,,,
5,1,2022-07-06,,,,,,,,,,,,,,,
5,2,2022-07-06,,,,,,,,,,,,,,,
6,1,2022-07-06,,,,,,,,,,,,,,,
6,2,2022-07-06,,,,,,,,,,,,,,,
7,1,2022-07-06,,,,,,,,,,,,,,,
7,2,2022-07-06,,,,,,,,,,,,,,,
8,1,2022-07-06,,,,,,,,,,,,,,,
8,2,2022-07-06,,,,,,,,,,,,,,,
9,1,2022-07-21,,,,,,,,,,,,,,,
9,2,2022-07-21,,,,,,,,,,,,,,,
10,1,2022-07-21,,,,,,,,,,,,,,,
10,2,2022-07-21,,,,,,,,,,,,,,,
11,1,2022-07-21,,,,,,,,,,,,,,,
11,2,2022-07-21,,,,,,,,,,,,,,,
12,1,2022-07-21,,,,,,,,,,,,,,,
12,2,2022-07-21,,,,,,,,,,,,,,,
13,1,2022-07-21,,,,,,,,,,,,,,,
13,2,2022-07-21,,,,,,,,,,,,,,,
14,1,2022-07-21,,,,,,,,,,,,,,,
14,2,2022-07-21,,,,,,,,,,,,,,,
15,1,2022-05-05,,,,,,,,,,,,,,,
15,2,2022-05-05,,,,,,,,,,,,,,,
16,1,2022-05-05,,,,,,,,,,,,,,,
16,2,2022-05-05,,,,,,,,,,,,,,,
17,1,2022-05-05,,,,,,,,,,,,,,,
17,2,2022-05-05,,,,,,,,,,,,,,,
18,1,2022-05-05,,,,,,,,,,,,,,,
18,2,2022-05-05,,,,,,,,,,,,,,,
19,1,2022-05-05,,,,,,,,,,,,,,,
19,2,2022-05-05,,,,,,,,,,,,,,,
20,1,2022-05-05,,,,,,,,,,,,,,,
20,2,2022-05-05,,,,,,,,,,,,,,,
21,1,2022-05-05,,,,,,,,,,,,,,,
21,2,2022-05-05,,,,,,,,,,,,,,,
22,1,2022-05-05,,,,,,,,,,,,,,,
22,2,2022-05-05,,,,,,,,,,,,,,,
23,1,2022-05-05,,,,,,,,,,,,,,,
23,2,2022-05-05,,,,,,,,,,,,,,,
24,1,2022-05-05,,,,,,,,,,,,,,,
24,2,2022-05-05,,,,,,,,,,,,,,,
25,1,2022-06-02,,,,,,,,,,,,,,,
25,2,2022-06-02,,,,,,,,,,,,,,,
26,1,2022-06-02,,,,,,,,,,,,,,,
26,2,2022-06-02,,,,,,,,,,,,,,,
27,1,2022-06-02,,,,,,,,,,,,,,,
27,2,2022-06-02,,,,,,,,,,,,,,,
28,1,2022-06-02,,,,,,,,,,,,,,,
28,2,2022-06-02,,,,,,,,,,,,,,,
29,1,2022-06-02,,,,,,,,,,,,,,,
29,2,2022-06-02,,,,,,,,,,,,,,,
30,1,2022-06-02,,,,,,,,,,,,,,,
30,2,2022-06-02,,,,,,,,,,,,,,,
31,1,2022-06-02,,,,,,,,,,,,,,,
31,2,2022-06-02,,,,,,,,,,,,,,,
32,1,2022-06-02,,,,,,,,,,,,,,,
32,2,2022-06-02,,,,,,,,,,,,,,,
33,1,2022-05-18,,,,,,,,,,,,,,,
33,2,2022-05-18,,,,,,,,,,,,,,,
34,1,2022-05-18,,,,,,,,,,,,,,,
34,2,2022-05-18,,,,,,,,,,,,,,,
35,1,2022-05-18,,,,,,,,,,,,,,,
35,2,2022-05-18,,,,,,,,,,,,,,,
36,1,2022-05-18,,,,,,,,,,,,,,,
36,2,2022-05-18,,,,,,,,,,,,,,,
37,1,2022-05-18,,,,,,,,,,,,,,,
