Sample,Sub_Sample,Date_std,Lat,Lon,CP,TDN_based_ADF,B10__2DAP5x5_MED,B10__2DAP5x5_IQR,B10__BUF30m_MED,B10__BUF30m_IQR,valid_px_ratio__2DAP5x5,valid_px_ratio__BUF30m,SCL_clear_prop__2DAP5x5,SCL_cloud_prop__2DAP5x5,SCL_shadow_prop__2DAP5x5,SCL_veg_prop__2DAP5x5,SCL_clear_prop__BUF30m,SCL_cloud_prop__BUF30m,SCL_shadow_prop__BUF30m,SCL_veg_prop__BUF30m,n_scenes_used,win_days_used,min_abs_delta_day,tile_id,crs,processing_baseline,sun_zenith,sun_azimuth,cloud_cover_scene,source_s2,TEMP_MAX,TEMP_MIN,RAD_SOL,RAIN,WIND_SPD,EVAPOT,PRES_ATM,HUM_REL,TP_SFC_AVG,Wind_Dir,Dew_Point,Radiative_Dif_AVG,Radiative_Direct_AVG,PPFD,Longwave_Rad_AVG,precip_sum_d5,precip_sum_d7,precip_sum_d10,tavg_mean_d5,tavg_mean_d7,tavg_mean_d10,tmax_mean_d5,tmax_mean_d7,tmax_mean_d10,tmin_mean_d5,tmin_mean_d7,tmin_mean_d10,rh_mean_d5,rh_mean_d7,rh_mean_d10,rainy_days_d5,rainy_days_d7,rainy_days_d10,insolation_h_d5,insolation_h_d7,insolation_h_d10,B1__2DAP5x5_MED,B1__2DAP5x5_IQR,B1__BUF30m_MED,B1__BUF30m_IQR,B2__2DAP5x5_MED,B2__2DAP5x5_IQR,B2__BUF30m_MED,B2__BUF30m_IQR,B3__2DAP5x5_MED,B3__2DAP5x5_IQR,B3__BUF30m_MED,B3__BUF30m_IQR,B4__2DAP5x5_MED,B4__2DAP5x5_IQR,B4__BUF30m_MED,B4__BUF30m_IQR,B5__2DAP5x5_MED,B5__2DAP5x5_IQR,B5__BUF30m_MED,B5__BUF30m_IQR,B6__2DAP5x5_MED,B6__2DAP5x5_IQR,B6__BUF30m_MED,B6__BUF30m_IQR,B7__2DAP5x5_MED,B7__2DAP5x5_IQR,B7__BUF30m_MED,B7__BUF30m_IQR,B8__2DAP5x5_MED,B8__2DAP5x5_IQR,B8__BUF30m_MED,B8__BUF30m_IQR,B8A__2DAP5x5_MED,B8A__2DAP5x5_IQR,B8A__BUF30m_MED,B8A__BUF30m_IQR,B9__2DAP5x5_MED,B9__2DAP5x5_IQR,B9__BUF30m_MED,B9__BUF30m_IQR,B11__2DAP5x5_MED,B11__2DAP5x5_IQR,B11__BUF30m_MED,B11__BUF30m_IQR,B12__2DAP5x5_MED,B12__2DAP5x5_IQR,B12__BUF30m_MED,B12__BUF30m_IQR,granule_id_x,download_url_x,granule_id_y,download_url_y,granule_id,download_url
1,1,2022-07-06,-20.44671667,-54.839505,4.632362746,47.99895872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,27.0,310.0,22.0,359.0,24.0,355.0,7.0,654.0,35.0,652.0,26.0,978.0,47.0,971.0,11.0,1326.0,40.0,1325.0,25.0,1943.0,47.0,1966.0,65.0,2162.0,60.0,2190.0,77.0,2133.0,88.0,2153.0,101.0,2333.0,115.0,2400.0,104.0,624.0,10.0,637.0,5.0,2434.0,132.0,2486.0,33.0,1685.0,74.0,1725.0,68.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
1,2,2022-07-06,-20.44671667,-54.839505,4.811976056,52.44721853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,27.0,310.0,22.0,359.0,24.0,355.0,7.0,654.0,35.0,652.0,26.0,978.0,47.0,971.0,11.0,1326.0,40.0,1325.0,25.0,1943.0,47.0,1966.0,65.0,2162.0,60.0,2190.0,77.0,2133.0,88.0,2153.0,101.0,2333.0,115.0,2400.0,104.0,624.0,10.0,637.0,5.0,2434.0,132.0,2486.0,33.0,1685.0,74.0,1725.0,68.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
2,1,2022-07-06,-20.44699567,-54.83885633,4.644871037,49.69773698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,30.0,369.0,0.0,360.0,25.0,376.0,29.0,653.0,41.0,662.0,36.0,986.0,46.0,1000.0,28.0,1335.0,29.0,1344.0,37.0,1904.0,51.0,1959.0,88.0,2110.0,47.0,2200.0,111.0,2066.0,73.0,2181.0,128.0,2288.0,77.0,2331.0,142.0,607.0,9.0,607.0,0.0,2348.0,98.0,2337.0,89.0,1685.0,51.0,1682.0,18.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
2,2,2022-07-06,-20.44699567,-54.83885633,4.647188837,50.62115786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,30.0,369.0,0.0,360.0,25.0,376.0,29.0,653.0,41.0,662.0,36.0,986.0,46.0,1000.0,28.0,1335.0,29.0,1344.0,37.0,1904.0,51.0,1959.0,88.0,2110.0,47.0,2200.0,111.0,2066.0,73.0,2181.0,128.0,2288.0,77.0,2331.0,142.0,607.0,9.0,607.0,0.0,2348.0,98.0,2337.0,89.0,1685.0,51.0,1682.0,18.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
3,1,2022-07-06,-20.446424,-54.83924633,5.006476461,47.12037117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,28.0,339.0,20.0,357.0,13.0,359.0,10.0,651.0,10.0,647.0,22.0,971.0,74.0,984.0,6.0,1325.0,49.0,1335.0,14.0,1938.0,62.0,1925.0,24.0,2143.0,77.0,2139.0,30.0,2119.0,103.0,2085.0,48.0,2327.0,122.0,2306.0,41.0,622.0,30.0,607.0,15.0,2417.0,130.0,2342.0,66.0,1654.0,39.0,1654.0,37.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
3,2,2022-07-06,-20.446424,-54.83924633,4.908830785,54.54078847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,28.0,339.0,20.0,357.0,13.0,359.0,10.0,651.0,10.0,647.0,22.0,971.0,74.0,984.0,6.0,1325.0,49.0,1335.0,14.0,1938.0,62.0,1925.0,24.0,2143.0,77.0,2139.0,30.0,2119.0,103.0,2085.0,48.0,2327.0,122.0,2306.0,41.0,622.0,30.0,607.0,15.0,2417.0,130.0,2342.0,66.0,1654.0,39.0,1654.0,37.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
4,1,2022-07-06,-20.44633333,-54.83876267,5.873590871,51.82397028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,21.0,341.0,2.0,367.0,22.0,367.0,15.0,656.0,26.0,651.0,6.0,985.0,91.0,986.0,5.0,1335.0,91.0,1336.0,19.0,1904.0,45.0,1923.0,21.0,2110.0,60.0,2111.0,32.0,2072.0,70.0,2089.0,44.0,2286.0,60.0,2292.0,44.0,609.0,15.0,609.0,0.0,2404.0,166.0,2314.0,74.0,1663.0,108.0,1663.0,15.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
4,2,2022-07-06,-20.44633333,-54.83876267,5.785925335,44.13031441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,21.0,341.0,2.0,367.0,22.0,367.0,15.0,656.0,26.0,651.0,6.0,985.0,91.0,986.0,5.0,1335.0,91.0,1336.0,19.0,1904.0,45.0,1923.0,21.0,2110.0,60.0,2111.0,32.0,2072.0,70.0,2089.0,44.0,2286.0,60.0,2292.0,44.0,609.0,15.0,609.0,0.0,2404.0,166.0,2314.0,74.0,1663.0,108.0,1663.0,15.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
5,1,2022-07-06,-20.446437,-54.839261,4.811648506,50.04360893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,28.0,339.0,20.0,357.0,13.0,359.0,10.0,651.0,10.0,647.0,22.0,971.0,74.0,984.0,6.0,1325.0,49.0,1335.0,14.0,1938.0,62.0,1925.0,24.0,2143.0,77.0,2139.0,30.0,2119.0,103.0,2085.0,48.0,2327.0,122.0,2306.0,41.0,622.0,30.0,607.0,15.0,2417.0,130.0,2342.0,66.0,1654.0,39.0,1654.0,37.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
5,2,2022-07-06,-20.446437,-54.839261,4.724163988,47.45754752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.0,28.0,339.0,20.0,357.0,13.0,359.0,10.0,651.0,10.0,647.0,22.0,971.0,74.0,984.0,6.0,1325.0,49.0,1335.0,14.0,1938.0,62.0,1925.0,24.0,2143.0,77.0,2139.0,30.0,2119.0,103.0,2085.0,48.0,2327.0,122.0,2306.0,41.0,622.0,30.0,607.0,15.0,2417.0,130.0,2342.0,66.0,1654.0,39.0,1654.0,37.0,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif,G2335155143-LPCLOUD,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
