fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,0.11462539526949833,1.6138419317985513,1.4444303482375749
2,2022-04-20,178,12,0.10150692130990702,1.5651894639414716,1.3045153007209611
3,2022-05-18,178,12,-0.558891970184715,1.5949817920005664,1.2053206530447502
4,2022-06-02,174,16,-1.0690384636565247,1.927590891004229,1.55765396799921
5,2022-06-22,178,12,-8.175629781202336,3.6387075620954414,2.989215602604343
6,2022-07-06,174,16,0.7358976466070963,0.6449264679839201,0.4934201999481711
7,2022-08-03,172,18,-3.5400573049200403,2.4214491267937883,1.871263499066274
8,2022-08-24,178,12,-1.9127753206579063,2.3371901000270303,1.992232056714701
9,2022-11-03,170,20,-0.8632876208434606,2.7183946155867953,2.1504291894075864
10,2022-11-29,178,12,0.4121416776414879,1.2354186208922995,1.0385072772367057
11,2022-12-14,178,12,0.6931183970319477,0.7875714325968263,0.6214045754012911
12,2023-01-13,174,16,-0.7933251100671133,3.496313506112887,3.114735632552467
13,2023-03-01,178,12,-0.19396016056629017,2.2607064210829253,2.028528869797924
