fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,0.4611908197402954,1.2589687458882663,1.0027819871902466
2,2022-04-20,210,12,-2.71682071685791,3.183430336344721,3.0488598346710205
3,2022-05-05,202,20,0.049132466316223145,1.5194647217923436,1.0959609746932983
4,2022-05-18,210,12,0.4103613495826721,0.9809360074666588,0.78290194272995
5,2022-06-02,206,16,0.3819515109062195,1.053517688923173,0.9839498996734619
6,2022-06-22,210,12,-1.2783327102661133,1.813166791663715,1.731763243675232
7,2022-07-06,206,16,-1.6307334899902344,2.0354596459163243,1.7144598960876465
8,2022-08-03,204,18,-0.9399058818817139,1.5828327173898145,1.4747300148010254
9,2022-08-24,210,12,-1.2526206970214844,2.055344277197579,1.816044807434082
10,2022-11-03,202,20,0.19988125562667847,1.781352123879978,1.5605055093765259
11,2022-11-16,210,12,0.350261390209198,1.9276752559482158,1.5859297513961792
12,2022-11-29,210,12,0.37325751781463623,1.275623014113036,0.9681115746498108
13,2022-12-14,210,12,0.6833875775337219,0.7999604274975943,0.6862260699272156
14,2023-01-13,206,16,-6.188406467437744,6.999986103589024,6.510490417480469
15,2023-03-01,210,12,-0.7914177179336548,2.7691576104403954,2.33441424369812
