fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,0.5827282372004554,1.1079163288416078,0.9445501997225152
2,2022-04-20,210,12,0.8512443490523026,0.6368633898872262,0.4755139778677708
3,2022-05-05,202,20,0.67723925532301,0.88526023002447,0.6686217318423646
4,2022-05-18,210,12,-1.1933918429495032,1.8919333448724485,1.2921858045833863
5,2022-06-02,206,16,0.23929983550161504,1.1687922904625887,0.867354423637941
6,2022-06-22,210,12,0.5175199871857943,0.8343895872544904,0.7620373301833858
7,2022-07-06,206,16,0.3484116435421689,1.0130029797449214,0.8243077925175436
8,2022-08-03,204,18,-3.5819557821372525,2.4325967870113963,2.0622417392087637
9,2022-08-24,210,12,-129.3040925327165,15.632180927223942,9.633372785181315
10,2022-11-03,202,20,0.4077654335795563,1.5325668519305362,0.9664346206775234
11,2022-11-16,210,12,0.28230018547735014,2.025983656107301,1.584210637648324
12,2022-11-29,210,12,0.44404130707210077,1.2014316541180363,0.9263062347900773
13,2022-12-14,210,12,0.6358472811105713,0.8579190396080311,0.7375112720782312
14,2023-01-13,206,16,-0.6369484170634228,3.340399040445134,2.7620647280880757
15,2023-03-01,210,12,-0.9164415098495111,2.864158412441381,2.051553956534337
