fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.15004736792673012,1.5812292027992085,1.3420471127405702,20
2,2022-04-20,0.8225947767619997,0.695492977127171,0.577574828597819,12
3,2022-05-05,0.8964355905438212,0.5014595034435723,0.3776756876508605,20
4,2022-05-18,0.6504413130482642,0.7552796254641524,0.5482676209380798,12
5,2022-06-02,0.5098192615533013,0.938228679163373,0.7533959786463623,16
6,2022-06-22,0.6912580293444621,0.6674627725455375,0.5013050315583393,12
7,2022-07-06,0.6713791780913301,0.7194019390288852,0.5262353020221557,16
8,2022-08-03,0.575757373239135,0.7402046916704389,0.667078609214776,18
9,2022-08-24,0.6110919585383483,0.854012065572425,0.6277791528829751,12
10,2022-11-03,0.38415253754393963,1.56282061070187,1.1523422260444764,20
11,2022-11-16,0.7658664574619113,1.1571677957903241,0.8827198397983906,12
12,2022-11-29,0.924049518217685,0.44406145138781705,0.3854744808398641,12
13,2022-12-14,0.8936130623116978,0.4637123704435119,0.33720601970371505,12
14,2023-01-13,-2.3653106371471053,4.789535893011157,4.493088975728485,16
15,2023-03-01,0.06423408603525993,2.0013952318532584,1.7542914115036925,12
