fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,0.00976842340514561,1.706734040246885,1.5678411595938546
2,2022-04-20,178,12,0.7165952083431253,0.8790491173520947,0.5594413523338914
3,2022-05-18,178,12,-1.1520174859741852,1.874004448608742,1.6046325744322447
4,2022-06-02,174,16,0.3016889656127082,1.1198375744202937,0.825643189030925
5,2022-06-22,178,12,-0.3161991179959025,1.3781294386106784,1.030893354837629
6,2022-07-06,174,16,-0.44984721676085204,1.5110720927792347,1.3292054448340676
7,2022-08-03,172,18,-0.2833646285326812,1.287418408072928,1.0393570467426545
8,2022-08-24,178,12,0.40014604978781176,1.060628533415297,0.8690270647042236
9,2022-11-03,170,20,-0.0729559309509984,2.0628302639675593,1.1927593768918254
10,2022-11-29,178,12,0.08257189084658934,1.54334787639864,1.323889403567535
11,2022-12-14,178,12,-0.9554989443299642,1.9880775475172567,1.667528313469768
12,2023-01-13,174,16,-5.175170750903831,6.4879177953276175,6.091776373281474
13,2023-03-01,178,12,-0.9037716501462405,2.8546750389087285,2.307378378240579
GLOBAL_OOF,ALL,190,190,0.0689720505415099,2.4759830832892047,1.6748416999181859
