fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7832823395729065,0.7984442872955232,0.6322838068008423,20
2,2022-04-20,-100.74794006347656,16.656063114570696,16.630029678344727,12
3,2022-05-18,-28.51593589782715,6.940263902115384,6.918776035308838,12
4,2022-06-02,-143.01219177246094,16.081635117024305,16.06932258605957,16
5,2022-06-22,-19903.20703125,169.47343196095665,169.4647674560547,12
6,2022-07-06,-63.94947814941406,10.113742928338045,10.098709106445312,16
7,2022-08-03,-656.5921020507812,29.142244006633867,29.124277114868164,18
8,2022-08-24,-281.4476623535156,23.014923561527826,22.995351791381836,12
9,2022-11-03,-32.01593017578125,11.442852498001345,11.389174461364746,20
10,2022-11-29,-208.79969787597656,23.338891520847234,23.272079467773438,12
11,2022-12-14,-346.3494567871094,26.49645857269479,26.49585723876953,12
12,2023-01-13,-13.773155212402344,10.035002674963442,9.778228759765625,16
13,2023-03-01,-6.065430641174316,5.499441118455261,5.072583198547363,12
GLOBAL,,-315.16321892796356,45.62700756122421,24.157892759222733,190
