fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.05326870139492046,1.6688251601557034,1.3857204305018538,20
2,2022-04-20,0.8090899882394857,0.7214793283510855,0.6358037956821035,12
3,2022-05-18,0.4801221308123559,0.9210821501679546,0.6678015770311411,12
4,2022-06-02,0.2838789179627833,1.1340280496292907,0.834693770172193,16
5,2022-06-22,0.5864726408534036,0.7724694889427156,0.5934221096957647,12
6,2022-07-06,0.8927801287023593,0.41092419891013693,0.33102729205533343,16
7,2022-08-03,0.5178895565637316,0.7890743948859853,0.676462798679775,18
8,2022-08-24,0.4295973714601846,1.0342637422005252,0.8303526018257997,12
9,2022-11-03,0.5447435895314745,1.3436945974536025,0.9460022221295171,20
10,2022-11-29,0.8587754008873555,0.6055262495143998,0.5142633972147008,12
11,2022-12-14,0.8478181300949844,0.5546078087201478,0.46638646408762,12
12,2023-01-13,-1.653575371764612,4.2530116352730385,3.9495398149681558,16
13,2023-03-01,-0.20791303334755007,2.273877551929766,1.9945258702536652,12
GLOBAL,,0.5825486629329045,1.6579416525958686,1.1004506697551781,190
