fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,-0.7642832452859367,2.278146348674305,2.1318753920276015
2,2022-04-20,178,12,0.5198678283419653,1.1441684060278985,1.0067916598170619
3,2022-05-18,178,12,-0.7650819982136292,1.6971888207058818,1.3130639959492973
4,2022-06-02,174,16,0.4687750485764757,0.9767194044439245,0.7816196033558264
5,2022-06-22,178,12,-0.27723786981358,1.3575789818586539,1.1543544247105686
6,2022-07-06,174,16,-0.008758981424118684,1.2604272169832424,1.1390281142236554
7,2022-08-03,172,18,0.2095651603690234,1.0103636636395077,0.8490264286922119
8,2022-08-24,178,12,-7.9688008722388375,4.101169659611213,3.4214267966257688
9,2022-11-03,170,20,-0.26607277613122404,2.2407937639650224,1.6998976090762068
10,2022-11-29,178,12,0.07125780071930943,1.5528353067686382,1.0999743241092308
11,2022-12-14,178,12,-0.9938624001472076,2.0074841244769392,1.4078749085753897
12,2023-01-13,174,16,-3.5486926599207376,5.568319548225979,4.962177657619712
13,2023-03-01,178,12,-1.9742229931812578,3.568091750370248,2.903934839590749
GLOBAL_OOF,ALL,190,190,-0.010065158535757623,2.5789386394603007,1.84069575333821
