fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.03527975082397461,1.6846052702441672,1.4829615354537964,20
2,2022-04-20,0.39677053689956665,1.2824806722779647,0.983411967754364,12
3,2022-05-18,-0.6333643198013306,1.6326354446421678,1.3304097652435303,12
4,2022-06-02,0.4334007501602173,1.008715203121124,0.7266384363174438,16
5,2022-06-22,-1.262662410736084,1.8069206391953405,1.6271038055419922,12
6,2022-07-06,0.35572391748428345,1.0073029168706202,0.8726443648338318,16
7,2022-08-03,0.5246621370315552,0.7835124634467753,0.6714999675750732,18
8,2022-08-24,-2.0936830043792725,2.4086763113535983,2.1805498600006104,12
9,2022-11-03,0.14110511541366577,1.8456211616845657,1.158747673034668,20
10,2022-11-29,-0.8891739845275879,2.2146942249668053,1.5718938112258911,12
11,2022-12-14,0.42297935485839844,1.0799414218805103,0.7912221550941467,12
12,2023-01-13,-0.6621323823928833,3.3659966082133694,2.8565142154693604,16
13,2023-03-01,-0.1557469367980957,2.224234773010702,1.7680641412734985,12
GLOBAL,,0.48646783754979617,1.8388662357185637,1.3644516386483845,190
