fold,date,r2,rmse,mae,n_test
1,2022-04-06,-0.9506779276142499,2.3954673169073155,2.211711283187647,20
2,2022-04-20,-0.01925654698820889,1.667060275009783,1.4201237595833334,12
3,2022-05-18,-1.4207697961076882,1.9875793025151962,1.5226832751760302,12
4,2022-06-02,-0.9169379292234099,1.8553874235054721,1.2898971966831898,16
5,2022-06-22,-2.397392205633876,2.2141245900498028,1.8599392385608622,12
6,2022-07-06,-1.6219760211002914,2.03206887144012,1.5982557663534491,16
7,2022-08-03,-3.3218515259452897,2.3625423562051724,2.071260821945736,18
8,2022-08-24,-1.458361842399368,2.147155254334371,1.6613288584035575,12
9,2022-11-03,-0.2383151839026998,2.216093863039873,1.5677709879405894,20
10,2022-11-29,-0.00013974656767246074,1.6114177790189583,1.4821998704925097,12
11,2022-12-14,-0.2754753433803623,1.6056118378594022,1.2377817906526214,12
12,2023-01-13,-4.809234043083926,6.292747270908773,5.727002009832616,16
13,2023-03-01,-0.2717464367363278,2.3331868213019447,2.163465806524344,12
GLOBAL,,-0.11144462064434246,2.705267579535435,2.0362373209274485,190
