fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170.0,20,0.6685981008949117,0.9873587092462676,0.828458639669903
2,2022-04-20,178.0,12,0.7298023628443601,0.8583221521363695,0.7126819970470875
3,2022-05-18,178.0,12,0.3143267188879284,1.0578067472068615,1.0114883698516486
4,2022-06-02,174.0,16,-0.5015785616783701,1.6421189495676352,1.5588808985751137
5,2022-06-22,178.0,12,-5.935573608343658,3.163518691781594,3.0172643117708513
6,2022-07-06,174.0,16,0.7977458892414186,0.5643814668185126,0.37845974373484403
7,2022-08-03,172.0,18,0.13381691914687088,1.0576684024481953,0.7424272615952129
8,2022-08-24,178.0,12,-5.068706463167336,3.3735613367377306,3.063947974068635
9,2022-11-03,170.0,20,-0.11510333461434419,2.1029556280246564,1.7274322151003936
10,2022-11-29,178.0,12,0.7954758760410974,0.7287021956019206,0.6378056713284886
11,2022-12-14,178.0,12,0.6173255101518937,0.8794664642818371,0.7030761424524231
12,2023-01-13,174.0,16,-3.8455160014015934,5.747127990838518,5.406221282892566
13,2023-03-01,178.0,12,-1.431752852558906,3.2263313411520826,2.230734852261702
GLOBAL_OOF,,,190,0.10134493822868396,2.4325558836661725,1.6763288970143695
