fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.19652009010314941,1.537393274712421,1.2937676906585693,20
2,2022-04-20,0.8304064869880676,0.6800082315970515,0.6160562038421631,12
3,2022-05-18,0.7391366958618164,0.652460487565175,0.5069517493247986,12
4,2022-06-02,0.7613374590873718,0.6546704037421106,0.4849097430706024,16
5,2022-06-22,0.5762824416160583,0.7819291786554197,0.5983936190605164,12
6,2022-07-06,0.8483324646949768,0.48873154285829523,0.3963101804256439,16
7,2022-08-03,0.5896523594856262,0.7279820264992223,0.6117585301399231,18
8,2022-08-24,0.7690637111663818,0.6580920705862167,0.5679561495780945,12
9,2022-11-03,0.4977360963821411,1.4113623620469935,0.8978615999221802,20
10,2022-11-29,0.8378413915634155,0.6488551667587927,0.5706859230995178,12
11,2022-12-14,0.7931081652641296,0.646660334217718,0.5775890350341797,12
12,2023-01-13,-1.7968525886535645,4.366320911337284,4.058631896972656,16
13,2023-03-01,-0.0587005615234375,2.128804671637718,1.968430519104004,12
GLOBAL,,0.6003397336025469,1.6222276560223619,1.0460769803900467,190
