fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,-0.19592785835266113,1.875641967228913,1.6884247064590454
2,2022-04-20,178,12,0.34766340255737305,1.3336608851942395,0.9291889667510986
3,2022-05-18,178,12,0.3673098683357239,1.0161158622624595,0.7886185646057129
4,2022-06-02,174,16,-1.2538182735443115,2.011824106957466,1.924644947052002
5,2022-06-22,178,12,-15.080421447753906,4.817013890159874,4.2919020652771
6,2022-07-06,174,16,0.3198729157447815,1.0349494007660451,0.8533129692077637
7,2022-08-03,172,18,-1.3803329467773438,1.7533295156826525,1.6442068815231323
8,2022-08-24,178,12,-1.1427240371704102,2.00458121133186,1.7445601224899292
9,2022-11-03,170,20,0.3017593026161194,1.664083561293875,1.4289089441299438
10,2022-11-29,178,12,0.37957602739334106,1.269176633164933,1.1727824211120605
11,2022-12-14,178,12,-3.482117176055908,3.009858938821553,2.421603202819824
12,2023-01-13,174,16,-7.260831832885742,7.503998771228161,6.898648262023926
13,2023-03-01,178,12,0.2716056704521179,1.7657634714566777,1.3661748170852661
GLOBAL,,0,190,-0.3506607548294072,2.9822184645001806,2.10182141191081
