fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,0.7543387437972076,2.5332306420240456,2.1710243862708567
2,2022-04-20,178,12,0.657152920517893,3.0754522419181036,2.891463628116778
3,2022-05-18,178,12,-0.15613558883083312,3.233207172405091,2.828912376714553
4,2022-06-02,174,16,0.6700381751360259,2.656773534715383,2.3449995522865494
5,2022-06-22,178,12,-0.09891395114571822,3.478888736247672,2.6873693784390977
6,2022-07-06,174,16,0.4627740877285089,3.005582363048006,2.1874480243305006
7,2022-08-03,172,18,0.8208898833258688,1.540674006879989,1.1784016899845098
8,2022-08-24,178,12,-0.481060723200295,4.947505555565309,3.341693136314669
9,2022-11-03,170,20,0.7550916805104241,2.105693709329024,1.6639281253292064
10,2022-11-29,178,12,0.7959975422206289,2.778260309700583,1.9332227527017924
11,2022-12-14,178,12,0.8076728615474219,1.8360895045701247,1.546375672752734
12,2023-01-13,174,16,0.3655581751972389,2.622152009502011,2.224237537334567
13,2023-03-01,178,12,-0.31056585489787714,6.664195599009039,4.481688511253657
GLOBAL_OOF,,190,0,0.614937815004468,3.2209514226329072,2.3291891997393037
