fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170.0,20,0.7591190419584851,2.508462617828403,2.158666320916891
2,2022-04-20,178.0,12,0.6262897476822848,3.210896201536361,2.929326946785412
3,2022-05-18,178.0,12,0.2133212038887623,2.66702981504023,2.0882996601415784
4,2022-06-02,174.0,16,-0.8296524953446942,6.256147711874957,5.602182810078296
5,2022-06-22,178.0,12,-0.5137364012752599,4.083041771361052,3.462480877956409
6,2022-07-06,174.0,16,0.6247600599590177,2.5119135377349275,1.7308401215130935
7,2022-08-03,172.0,18,0.20750220608135517,3.240781329081731,2.7729567785399274
8,2022-08-24,178.0,12,-11.331456298113158,14.276016531312225,13.800422350900826
9,2022-11-03,170.0,20,0.4450155420926716,3.169814451693766,2.911723855436822
10,2022-11-29,178.0,12,0.5765576589797171,4.002693866782258,3.3235898252508274
11,2022-12-14,178.0,12,-0.21175264148198503,4.6087224093326515,4.20942844997482
12,2023-01-13,174.0,16,-0.16091490888632376,3.5470079036626965,2.773218715584973
13,2023-03-01,178.0,12,-0.1816614017247844,6.327976183515013,4.964385937751605
GLOBAL_OOF,,,190,-0.021041524336002704,5.244939002966755,3.843979476214487
