fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170.0,20,0.7523239413213515,2.5435976348764537,2.2168197373543053
2,2022-04-20,178.0,12,0.6644175695673787,3.042694627943927,2.433976789376828
3,2022-05-18,178.0,12,0.37763435956956326,2.3722035558027175,2.082487942928474
4,2022-06-02,174.0,16,0.7294534730500897,2.4057121943499884,2.2484868318907556
5,2022-06-22,178.0,12,-1.8201337816847292,5.573057848791427,4.407750804664402
6,2022-07-06,174.0,16,0.11196987174428907,3.864239252969165,3.2328581849272315
7,2022-08-03,172.0,18,-0.9548215347714879,5.089841453762772,4.63490356512677
8,2022-08-24,178.0,12,-0.45019391280156484,4.895678580566496,3.7210756585807006
9,2022-11-03,170.0,20,0.8222955621467792,1.7936700949156692,1.4680034052145874
10,2022-11-29,178.0,12,0.5458844193430483,4.145132678552548,3.599137270373678
11,2022-12-14,178.0,12,0.08532517512955029,4.004118539908255,2.7736075016125503
12,2023-01-13,174.0,16,-1.488727790719814,5.1933866905534325,4.67006258442683
13,2023-03-01,178.0,12,-0.5740664755932967,7.303480024316696,5.710929567661385
GLOBAL_OOF,,,190,0.3552088188083228,4.168005506413764,3.243657026662911
