fold,date,r2,rmse,mae,n_test
1,2022-04-06,-15.297126770019531,20.632978895817114,20.473926544189453,20
2,2022-04-20,-3.8535099029541016,11.57142154753941,11.276942253112793,12
3,2022-05-18,-356.07415771484375,56.82092424134462,56.75254440307617,12
4,2022-06-02,-485.84783935546875,102.05147674703194,101.99525451660156,16
5,2022-06-22,-54703.734375,776.1955697503046,776.1592407226562,12
6,2022-07-06,-429.49609375,85.08143215564868,85.04716491699219,16
7,2022-08-03,-2537.790771484375,183.42738472962537,183.40904235839844,18
8,2022-08-24,-217.23130798339844,60.0562643094998,59.132476806640625,12
9,2022-11-03,-397.8585510253906,84.97728614257018,84.85975646972656,20
10,2022-11-29,-201.931396484375,87.62537056358877,87.218017578125,12
11,2022-12-14,-3755.440185546875,256.6030494752547,256.547607421875,12
12,2023-01-13,-1617.8394775390625,132.4536401797814,132.33628845214844,16
13,2023-03-01,-20.09140968322754,26.734440066037127,25.97185516357422,12
GLOBAL,,-1859.8766756699658,223.91208508521166,135.76210552014803,190
