fold,date,r2,rmse,mae,n_test
1,2022-04-06,-2.504995584487915,9.568638645074833,8.385553359985352,20
2,2022-04-20,-9.302701950073242,16.859097143505064,16.5002498626709,12
3,2022-05-18,-12.752864837646484,11.151304543306946,10.656661033630371,12
4,2022-06-02,-10.10637092590332,15.41376601415948,15.038537979125977,16
5,2022-06-22,-3.6088194847106934,7.124486001196859,5.919030666351318,12
6,2022-07-06,-3.9214673042297363,9.096985336468014,8.625102996826172,16
7,2022-08-03,-7.006537437438965,10.300850501639605,10.08604907989502,18
8,2022-08-24,-1.7500321865081787,6.741688450171789,6.071302890777588,12
9,2022-11-03,-4.085938930511475,9.59575102871973,8.177948951721191,20
10,2022-11-29,-2.6738271713256836,11.790022197310993,8.45374584197998,12
11,2022-12-14,-9.370984077453613,13.482907813249556,12.445584297180176,12
12,2023-01-13,-58.17180633544922,25.323248344915807,23.10447120666504,16
13,2023-03-01,-1.0501856803894043,8.335178272741317,6.709299564361572,12
GLOBAL,,-5.194304129111981,12.91858658151378,10.853575174432052,190
