fold,date,r2,rmse,mae,n_test
1,2022-04-06,-0.09385538101196289,5.345475838358692,4.341683387756348,20
2,2022-04-20,-0.019568920135498047,5.303554588096638,4.437844276428223,12
3,2022-05-18,-0.11966967582702637,3.181808476619038,2.570829391479492,12
4,2022-06-02,-0.010669827461242676,4.649725727483323,3.805041790008545,16
5,2022-06-22,-0.7582200765609741,4.400432019265467,3.805739402770996,12
6,2022-07-06,-1.8493998050689697,6.921924875049576,5.702624797821045,16
7,2022-08-03,-0.02276289463043213,3.681613555727741,2.574519157409668,18
8,2022-08-24,-1.5693249702453613,6.516423823652271,5.1336870193481445,12
9,2022-11-03,-0.4985623359680176,5.208717433753486,4.6523871421813965,20
10,2022-11-29,-0.6697674989700317,7.9484650575592415,7.024289608001709,12
11,2022-12-14,-0.019837021827697754,4.228038819105068,3.6743276119232178,12
12,2023-01-13,-0.7689861059188843,4.378488512216439,4.085542678833008,16
13,2023-03-01,-0.0029119253158569336,5.829746705927577,4.3727126121521,12
GLOBAL,,-0.046825800806981066,5.310751090326612,4.2944593329178655,190
