fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7653900384902954,2.4755953756600166,1.9830207824707031,20
2,2022-04-20,0.5757061243057251,3.4213076604542465,3.006349563598633,12
3,2022-05-18,0.0431368350982666,2.9413994412894304,2.1381709575653076,12
4,2022-06-02,0.7613232135772705,2.2595801380361618,1.972425937652588,16
5,2022-06-22,-0.19158685207366943,3.6226097645264637,2.936505079269409,12
6,2022-07-06,0.2144259214401245,3.634492350395109,2.7871365547180176,16
7,2022-08-03,0.5155700445175171,2.533764191010476,1.8231877088546753,18
8,2022-08-24,-0.5201455354690552,5.01236131433425,3.1370744705200195,12
9,2022-11-03,0.6458747386932373,2.532047381610089,1.822227120399475,20
10,2022-11-29,0.4601900577545166,4.5193470329650625,3.4379260540008545,12
11,2022-12-14,0.6336901187896729,2.533949178160446,1.9639793634414673,12
12,2023-01-13,0.6416404843330383,1.9707043348144204,1.592444896697998,16
13,2023-03-01,-0.11765491962432861,6.154207926900059,4.168404579162598,12
GLOBAL,,0.569955948481938,3.4038875963139277,2.421133543315687,190
