fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,-2.7600100042386253,9.910621694791184,8.278888675036914
2,2022-04-20,178,12,-2.560322889412986,9.910679992812865,7.26056258561226
3,2022-05-18,178,12,-9.336726972186373,9.667644478429253,8.75371687527524
4,2022-06-02,174,16,0.03995971754217331,4.531765366281907,3.866358858130354
5,2022-06-22,178,12,-44.64775735102748,22.42169385934563,21.2241021285398
6,2022-07-06,174,16,-4.61937613803335,9.720625441316656,9.18797495007283
7,2022-08-03,172,18,-12.727518501217174,13.487973871741042,13.104102017960235
8,2022-08-24,178,12,-9.157585819109366,12.956721033976917,11.265543294799658
9,2022-11-03,170,20,-0.3928903667432748,5.021713110923725,4.136463158890659
10,2022-11-29,178,12,-2.8234654639750687,12.027734158813308,9.752610062938686
11,2022-12-14,178,12,-0.8623720141492948,5.7135598571221395,5.448345733325884
12,2023-01-13,174,16,-42.144366973726605,21.623401511610684,16.655948022492197
13,2023-03-01,178,12,-11.491450502577973,20.57428477584045,18.904689700376895
GLOBAL_OOF,ALL,190,190,-5.372226935265967,13.10280737713408,10.267685404544121
