fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.8078634142875671,2.240327069893241,1.6473573446273804,20
2,2022-04-20,0.6702755689620972,3.016020753814364,2.7870724201202393,12
3,2022-05-18,0.3230099081993103,2.4741170946009468,1.9825912714004517,12
4,2022-06-02,-1.0035245418548584,6.546663194384823,5.893185615539551,16
5,2022-06-22,-1.401986837387085,5.143325421040239,4.32139253616333,12
6,2022-07-06,0.5553871989250183,2.734268622372716,2.0332789421081543,16
7,2022-08-03,0.32154345512390137,2.998553086081083,2.429722785949707,18
8,2022-08-24,-8.098307609558105,12.262530088241947,11.380900382995605,12
9,2022-11-03,0.7467042803764343,2.1414470347236834,1.593173623085022,20
10,2022-11-29,0.343447744846344,4.9841362109728955,3.870598554611206,12
11,2022-12-14,-0.5946176052093506,5.286909152447247,3.011615753173828,12
12,2023-01-13,-0.5333654880523682,4.076475547953944,3.7005152702331543,16
13,2023-03-01,-0.16435909271240234,6.281476828052255,4.798008441925049,12
GLOBAL,,0.05516502098755427,5.0454129719257335,3.581070749383224,190
