fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,0.4333083580885363,1.2911326646395294,1.1606537477570105
2,2022-04-20,210,12,0.8285307929534753,0.683758310002197,0.6302380254492161
3,2022-05-05,202,20,0.7644355443173121,0.7562849880773251,0.5883353313084903
4,2022-05-18,210,12,0.37546913894237766,1.0095426505948084,0.7296938157735248
5,2022-06-02,206,16,-0.7775590833301245,1.7866628434288758,1.3238573516790888
6,2022-06-22,210,12,0.8690286094302244,0.434727818133526,0.33786183842451073
7,2022-07-06,206,16,0.6738824959806786,0.7166566252983244,0.5305819798605989
8,2022-08-03,204,18,0.7123793660933802,0.6094733235971967,0.5607232248025205
9,2022-08-24,210,12,0.8472820670290296,0.5351623640579152,0.40496585701653737
10,2022-11-03,202,20,0.6607940185326597,1.1598566128180345,0.9131741589784041
11,2022-11-16,210,12,0.8145840536613286,1.0297648453216843,0.8473712322777854
12,2022-11-29,210,12,0.9474327327464522,0.3694328478203603,0.3378389816740604
13,2022-12-14,210,12,0.8784145592725886,0.4957301284770123,0.4216906290055619
14,2023-01-13,206,16,-1.24577581538591,3.9125874128473335,3.6502117077061955
15,2023-03-01,210,12,-0.3723553572331464,2.4237205268697704,1.960826489886913
GLOBAL_OOF,,222,0,0.6401819789646399,1.4916386637187153,0.9885429813934906
