fold,date,R2,RMSE,MAE
1,2022-04-06,-0.5086952637940234,2.1066783320416627,1.8857256612387707
2,2022-04-20,0.6616910094960258,0.9604313273187881,0.7503122574481208
3,2022-05-05,0.6942030454057174,0.8616823111893628,0.6769430292456267
4,2022-05-18,0.2814359592088601,1.082880316368565,0.8484201170873291
5,2022-06-02,-0.5979469437120866,1.6939935831589858,1.4442263992670874
6,2022-06-22,0.7817160522412555,0.5612290103919514,0.4887959933530088
7,2022-07-06,0.7641050856312395,0.609513535318654,0.5377679985003305
8,2022-08-03,0.4530745150527876,0.8404439634713923,0.7272743934029902
9,2022-08-24,0.27701162927073364,1.164410735309442,1.0214816605620218
10,2022-11-03,0.6192490650939203,1.2288334964719088,0.9154063396147748
11,2022-11-16,0.6472148849078965,1.4204293810812143,0.8973168182063317
12,2022-11-29,0.9400524493708086,0.3945150079532103,0.3186296081404569
13,2022-12-14,0.9017145206364484,0.4457067463773648,0.3887599521366565
14,2023-01-13,-1.3336845497215788,3.9884295806010055,3.5156656760932403
15,2023-03-01,-0.42514153247274145,2.469893620347367,2.135695908645927
GLOBAL,,0.5630990599612402,1.6436663575026083,1.1387745434773244
