fold,date,R2,RMSE,MAE
1,2022-04-06,-29.641308248677014,9.494041304645753,9.461003904541325
2,2022-04-20,-518.4481641428409,37.63402383692745,37.6257919971928
3,2022-05-05,-382.41656507336427,30.511674019592384,30.501026015820713
4,2022-05-18,-374.9837561520074,24.770356707326993,24.76310992790123
5,2022-06-02,-5868.323870869384,102.66552220202011,102.66417291520493
6,2022-06-22,-5713.643785786494,90.80793387252282,90.77850084391497
7,2022-07-06,-88.69214563585946,11.8850570845282,11.86950182456367
8,2022-08-03,-1714.937466310585,47.07555082553428,47.06323612504518
9,2022-08-24,-7403.660621720926,117.84010587834734,117.83490906615845
10,2022-11-03,-154.98637845883812,24.872296689988016,24.818113065043867
11,2022-11-16,-33.247058732256036,13.99510495641103,13.945297307412666
12,2022-11-29,-164.73711925143627,20.743770572756677,20.700106074808318
13,2022-12-14,-150.55276783185238,17.501951010140004,17.500006287400463
14,2023-01-13,-38.268368046004184,16.360715004433878,16.243955633681786
15,2023-03-01,-52.904386611383764,15.19012347906966,15.025831141549114
GLOBAL,,-400.9443520066426,49.85458917174049,37.35705327788375
