fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.6175167560577393,1.060727155055976,0.8138395547866821,20
2,2022-04-20,0.2673482894897461,1.4133780071482622,1.1587436199188232,12
3,2022-05-05,0.4266884922981262,1.1798476558878803,0.9436343908309937,20
4,2022-05-18,-2.2654266357421875,2.308435011826606,2.1504838466644287,12
5,2022-06-02,0.5662517547607422,0.8825705205065173,0.7690040469169617,16
6,2022-06-22,-19.212553024291992,5.400572336737196,5.2472357749938965,12
7,2022-07-06,0.6638879179954529,0.7275555295168737,0.5971649289131165,16
8,2022-08-03,-0.4320180416107178,1.359937441873683,1.1262468099594116,18
9,2022-08-24,0.6416953802108765,0.8197223175135239,0.6885950565338135,12
10,2022-11-03,0.7247077822685242,1.044887477985987,0.8514488935470581,20
11,2022-11-16,0.4995118975639343,1.691848239017669,1.442541241645813,12
12,2022-11-29,-0.9371120929718018,2.2426173632135433,1.561991810798645,12
13,2022-12-14,0.4811965227127075,1.024014143071257,0.9045377373695374,12
14,2023-01-13,-2.6720356941223145,5.003043774166441,4.482193946838379,16
15,2023-03-01,-0.13949942588806152,2.2085452667841268,1.5028139352798462,12
GLOBAL,,0.17052311443164836,2.2647711397146164,1.5401261883812982,222
