fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202.0,20,0.6831534371065013,0.9654326120415737,0.7451195283880745
2,2022-04-20,210.0,12,0.8207946148970626,0.699012715325663,0.5612667164531931
3,2022-05-05,202.0,20,0.7387453347234116,0.7964575380302504,0.7247801771100523
4,2022-05-18,210.0,12,0.6943734205826999,0.7062253133661596,0.6453947357410902
5,2022-06-02,206.0,16,0.9642501511122312,0.25337729090351613,0.19535729379798553
6,2022-06-22,210.0,12,0.8270327179095739,0.4995870735463556,0.39872120341563
7,2022-07-06,206.0,16,0.8100116733128528,0.5470002491661516,0.3805884553404476
8,2022-08-03,204.0,18,0.49513323532573217,0.8074824144872322,0.746671366859339
9,2022-08-24,210.0,12,0.7612979489237889,0.6690654753344258,0.5215672036712267
10,2022-11-03,202.0,20,0.5682688066718402,1.3085166892408218,1.136964838839304
11,2022-11-16,210.0,12,0.701873463051617,1.3057644428365482,0.8796671726827873
12,2022-11-29,210.0,12,0.8228594084379192,0.6781673121709765,0.6111840510176328
13,2022-12-14,210.0,12,-0.03694979832654299,1.44771606407653,1.3808196259866123
14,2023-01-13,206.0,16,-1.0233786232674569,3.7138078666619276,3.178136396098786
15,2023-03-01,210.0,12,-0.44149506229709834,2.484024239968845,1.8270835307488589
GLOBAL_OOF,,,222,0.6727846484424733,1.422456558187585,0.9349150481559303
