fold,Date,R2,RMSE,MAE,n_test
1,2022-04-06,0.3750572815129406,1.3558684995811012,1.0973278667905397,20
2,2022-04-20,0.8462068625061815,0.6475570355996756,0.5548691984769694,12
3,2022-05-05,0.7399027527918576,0.7946913349338466,0.5898613813671629,20
4,2022-05-18,0.5243270924848298,0.8810527839073302,0.7572902552638855,12
5,2022-06-02,0.32115942633588324,1.1041154297237212,0.8047531811082002,16
6,2022-06-22,0.8276513830714223,0.4986928177535142,0.4391948065688171,12
7,2022-07-06,0.8489405886080986,0.4877507651437905,0.38302982205727387,16
8,2022-08-03,0.14724835539313152,1.0494360157721632,0.9703860638132595,18
9,2022-08-24,0.6439176366891277,0.8171763266337609,0.6484198618414406,12
10,2022-11-03,0.49512118071245714,1.4150315650076783,0.9127059640613343,20
11,2022-11-16,0.7980020444970484,1.0748256138614196,0.7999521148075459,12
12,2022-11-29,0.9670355765521111,0.29255030124558046,0.20161800927896115,12
13,2022-12-14,0.8487053092223775,0.5529888462714369,0.47339398564855956,12
14,2023-01-13,-1.1139381546099005,3.7960068882490794,3.451151356280777,16
15,2023-03-01,-0.31849959534838046,2.3756871597748566,2.1914030872429806,12
GLOBAL,GLOBAL,0.6541548004629946,1.4623894742094485,0.975141887268961,222
