fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202.0,20,0.22969895601272583,1.505316056177438,1.3965446949005127
2,2022-04-20,210.0,12,-0.5558511018753052,2.0596506492896167,1.9287490844726562
3,2022-05-05,202.0,20,0.6844433546066284,0.8753248361074376,0.7866018414497375
4,2022-05-18,210.0,12,0.523618757724762,0.881708484449966,0.6736424565315247
5,2022-06-02,206.0,16,-1.6813783645629883,2.194368750102357,2.0990779399871826
6,2022-06-22,210.0,12,-1.7345552444458008,1.9864267270381457,1.6712743043899536
7,2022-07-06,206.0,16,0.5111337900161743,0.8774433762194427,0.7357165217399597
8,2022-08-03,204.0,18,-0.7328064441680908,1.4959590841297703,1.3410710096359253
9,2022-08-24,210.0,12,0.5715743899345398,0.896351291194532,0.7618576884269714
10,2022-11-03,202.0,20,0.24773001670837402,1.727266746264237,1.4808151721954346
11,2022-11-16,210.0,12,0.8642147183418274,0.8812332205832053,0.6416008472442627
12,2022-11-29,210.0,12,0.28211236000061035,1.365230663987602,1.1638469696044922
13,2022-12-14,210.0,12,-0.9315048456192017,1.9758429744275547,1.440393090248108
14,2023-01-13,206.0,16,-5.958481311798096,6.887126977584419,6.485734462738037
15,2023-03-01,210.0,12,0.013438522815704346,2.054997641940284,1.712973713874817
GLOBAL,,,222,0.08556111621712137,2.377932487922491,1.6508064645904679
