fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,0.15448561711409958,1.5770953991074712,1.366673027329639
2,2022-04-20,210,12,0.8420050488178168,0.656343445130795,0.5991087891445616
3,2022-05-05,202,20,0.8990075904821436,0.49519353565565516,0.35394091952503115
4,2022-05-18,210,12,0.4675075059899021,0.9321900536915056,0.6568929588973235
5,2022-06-02,206,16,-0.7467938457644581,1.7711339575239264,1.2794990922423235
6,2022-06-22,210,12,0.7459388021289404,0.6054780211683402,0.4552530306648645
7,2022-07-06,206,16,0.8188708954870585,0.5340945978720875,0.34529560475265964
8,2022-08-03,204,18,0.6608058361571939,0.6618641643804246,0.6109895941737212
9,2022-08-24,210,12,0.8736753938244959,0.48672597235079396,0.3891856238340812
10,2022-11-03,202,20,0.4448268020431485,1.48383905544977,1.1433804826411749
11,2022-11-16,210,12,0.7625426461356809,1.1653525544186285,0.8775705111523932
12,2022-11-29,210,12,0.9123919406664949,0.4769247245566141,0.3638437854136181
13,2022-12-14,210,12,0.92717802152233,0.3836504965837172,0.3135429294656622
14,2023-01-13,206,16,-2.137135403616496,4.624315801741356,4.294586582639692
15,2023-03-01,210,12,-0.5677100956541115,2.590491237059706,2.1195794915911295
GLOBAL_OOF,,222,0,0.5427980663164776,1.681419987989302,1.0463402126178483
