fold,date,r2,rmse,mae,n_test
1,2022-04-06,-157.6691776907088,21.604476652541678,21.57673352638308,20
2,2022-04-20,-668.7288884280698,42.73257504696273,42.725210535676126,12
3,2022-05-05,-815.3569852126496,44.521589018516494,44.50858253051938,20
4,2022-05-18,-1129.7733323621476,42.95715377474072,42.95176683951119,12
5,2022-06-02,-123.09077223791928,14.92795532904651,14.917616753417963,16
6,2022-06-22,-415.47728609723055,24.51460345621599,24.39748658174698,12
7,2022-07-06,-5.668439574254842,3.2406801978786737,3.0811380855637687,16
8,2022-08-03,-18.192974272369128,4.978698447491957,4.937948670907498,18
9,2022-08-24,-1330.3450397817421,49.96729705055585,49.95583847799863,12
10,2022-11-03,-182.98334022615825,27.0123147549655,26.990126598465952,20
11,2022-11-16,-112.53095128738391,25.48130457529813,25.459730862436015,12
12,2022-11-29,-24.613043249095387,8.154707704965887,7.8852292428790625,12
13,2022-12-14,-155.9748154004261,17.812280196464005,17.798285822940215,12
14,2023-01-13,-107.32135764348882,27.17301949764135,27.056266475549243,16
15,2023-03-01,-36.62185481761039,12.690225855248473,12.518841522830366,12
GLOBAL_OOF,ALL,-126.5698692215722,28.086410026056416,24.124238508326222,222
