fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.33991297839930534,1.393471407383787,1.2032720752660448,20
2,2022-04-20,-0.02285813142163895,1.670002990368284,1.548821813608936,12
3,2022-05-05,0.15565565889786714,1.4318265074329644,1.2543231919646651,20
4,2022-05-18,0.8886578445190814,0.42626289669251793,0.3598169692061421,12
5,2022-06-02,-5.760518229668997,3.4843404063915067,3.4689235545622856,16
6,2022-06-22,-11.12099142509994,4.1821372762460545,3.946740081530121,12
7,2022-07-06,0.2707328044687063,1.0716856226340288,0.9046767458920887,16
8,2022-08-03,-2.6238438563876403,2.1633631121691623,2.045100707197066,18
9,2022-08-24,-0.028152421572202213,1.3885748540590097,1.3454599284249582,12
10,2022-11-03,-0.1707568015004488,2.1547946903574435,1.981480551951131,20
11,2022-11-16,-0.5766757354874366,3.00286433973128,2.806265922278388,12
12,2022-11-29,0.926068718407986,0.43811883570742993,0.4157522720574038,12
13,2022-12-14,0.9439462736692327,0.33659431154680414,0.28153135479952696,12
14,2023-01-13,-13.356100624965729,9.892341487835681,9.496934407959493,16
15,2023-03-01,-0.43099700819231135,2.4749624422240633,2.0651459303902926,12
GLOBAL_OOF,ALL,-0.8133769202537373,3.3486227121416947,2.2556589897088064,222
