fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,0.7249207682881154,2.6806202857836587,2.294599150641833
2,2022-04-20,210,12,0.63412752236675,3.1770469357266715,2.9613996395069475
3,2022-05-05,202,20,0.40466918438688515,2.875611987587547,2.4183046640016452
4,2022-05-18,210,12,0.010753939196057272,2.990758276701618,2.7592069318421486
5,2022-06-02,206,16,0.5423152297896868,3.1290025610355277,2.7131326124417368
6,2022-06-22,210,12,-0.8721126382598763,4.5407195913050895,3.831932088109332
7,2022-07-06,206,16,0.3222309567263305,3.375911258746344,2.7525657190129325
8,2022-08-03,204,18,0.44667158513719885,2.7079596173301836,2.2017224392161028
9,2022-08-24,210,12,-1.1771728509290331,5.998550413706034,3.7529157486149973
10,2022-11-03,202,20,0.7825841509687949,1.9839879517233219,1.6112293447705954
11,2022-11-16,210,12,0.8547222199798135,2.1224025031071543,1.761530208721048
12,2022-11-29,210,12,0.6630746424807386,3.5704428312741694,2.6247362451361274
13,2022-12-14,210,12,0.8614645304456807,1.5583107032843293,1.4393968697792208
14,2023-01-13,206,16,0.4863586571475351,2.3593477007260986,2.1460748683842708
15,2023-03-01,210,12,0.17104658236092507,5.300091585401452,3.3536943903276817
GLOBAL_OOF,,222,0,0.600020129187207,3.307656412286563,2.512251278180381
