fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7584487186174773,2.511950569481402,2.2427950818913485,20
2,2022-04-20,0.6682916399672576,3.0250805864435497,2.816512916943857,12
3,2022-05-05,0.5053831741128341,2.621111955347949,2.258732846302926,20
4,2022-05-18,0.18798611770536167,2.7096351835658665,2.3518311032088177,12
5,2022-06-02,0.6583341052469094,2.7034821831482434,2.2638744531649975,16
6,2022-06-22,-0.09026663154205661,3.4651740693992914,2.786408426362705,12
7,2022-07-06,0.33609350053841114,3.3412089597060977,2.556638343936403,16
8,2022-08-03,0.7512132724769295,1.8157844714954379,1.2994463172035309,18
9,2022-08-24,-0.7724928278885765,5.412426932320906,3.4088052022137134,12
10,2022-11-03,0.7467584671277909,2.141217831860951,1.8345475326740988,20
11,2022-11-16,0.844304404046821,2.1971833873615525,1.6348181926024814,12
12,2022-11-29,0.446467695249988,4.576429232263472,3.4877359844388405,12
13,2022-12-14,0.7555039791009055,2.0701864687206815,1.9333481264740768,12
14,2023-01-13,0.6833716773313979,1.852408987413173,1.5916488630581194,16
15,2023-03-01,-0.17603364357547657,6.312888978454644,4.0611232945888505,12
GLOBAL,,0.6216341317170024,3.217046201022653,2.3534825605927177,222
