fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,-0.14712499829567838,5.474087946686996,3.9721610313227345
2,2022-04-20,210,12,-0.5820176875495646,6.606393337778151,5.034249755492028
3,2022-05-05,202,20,-0.4124339111380815,4.429300769190252,3.4716545251009068
4,2022-05-18,210,12,-1.5315795152671483,4.784371943425159,4.2137312607011275
5,2022-06-02,206,16,-1.575907251896823,7.423142520936368,5.83821379956294
6,2022-06-22,210,12,-57.307704689172226,25.340878604319407,23.01869782744504
7,2022-07-06,206,16,-1.0869751554421532,5.923914709628889,5.531347193548937
8,2022-08-03,204,18,-6.147012096199149,9.732243260121537,8.414712356146039
9,2022-08-24,210,12,-0.0058355260128295505,4.0772124671223455,3.5228100620735128
10,2022-11-03,202,20,-1.0753622502330944,6.129716474281999,5.067599098176167
11,2022-11-16,210,12,-24.122154264328113,27.90979141725912,26.548054512109942
12,2022-11-29,210,12,-13.940620743281311,23.77604179825876,17.302377657425396
13,2022-12-14,210,12,-5.751976468118418,10.879001161527887,9.396592212403794
14,2023-01-13,206,16,-0.5890293846288503,4.149807259252674,3.1199445595924047
15,2023-03-01,210,12,0.12315857704268596,5.451033363128056,4.227386293979274
GLOBAL_OOF,ALL,222,222,-4.233312432836438,11.964365007306512,7.895009005970518
