fold,date,R2,RMSE,MAE
1,2022-04-06,1.0,1.1860982392681644e-08,1.1159940882521369e-08
2,2022-04-20,1.0,5.645111759493388e-09,4.548647680735485e-09
3,2022-05-05,1.0,4.08886056538143e-09,3.4111604207964776e-09
4,2022-05-18,1.0,4.792446871231518e-09,4.231120342979011e-09
5,2022-06-02,1.0,4.814650795618874e-09,3.814855098482894e-09
6,2022-06-22,0.9999999999999996,6.794191575798196e-08,6.709604486824598e-08
7,2022-07-06,1.0,2.9508269994322506e-08,2.9322710037860134e-08
8,2022-08-03,0.9999999999999997,6.070638008270734e-08,6.05749378558408e-08
9,2022-08-24,0.9999999999999941,3.1303676926717546e-07,3.1287063251284053e-07
10,2022-11-03,1.0,2.954813795397694e-08,2.8041369404263605e-08
11,2022-11-16,1.0,1.3112163635611243e-08,1.2476751483821621e-08
12,2022-11-29,1.0,2.956096577770585e-08,2.8564793197460858e-08
13,2022-12-14,1.0,2.2298658153434735e-08,2.182407795222237e-08
14,2023-01-13,0.9999999999999999,3.710248056024542e-08,3.6462882047061385e-08
15,2023-03-01,1.0,1.8910637157485967e-08,1.8387753542015162e-08
GLOBAL,,0.9999999999999998,7.87868548590695e-08,3.917208697952741e-08
