fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7615268230438232,2.495894112162697,1.840256690979004,20
2,2022-04-20,0.6537725925445557,3.0905763936632207,2.827378511428833,12
3,2022-05-05,0.5530009865760803,2.4917497878313286,2.1109962463378906,20
4,2022-05-18,0.37866413593292236,2.3702398079052593,1.9425147771835327,12
5,2022-06-02,-0.37904655933380127,5.431404468021071,4.689199924468994,16
6,2022-06-22,-1.372722864151001,5.111898096743445,4.082065105438232,12
7,2022-07-06,0.6331650018692017,2.483622406982899,1.7728729248046875,16
8,2022-08-03,0.6321959495544434,2.2077960554348763,1.7929948568344116,18
9,2022-08-24,-0.8876775503158569,5.585521079594169,4.902583599090576,12
10,2022-11-03,0.7522907853126526,2.1177001557674657,1.5364551544189453,20
11,2022-11-16,0.9441470503807068,1.3159858190705829,1.024065375328064,12
12,2022-11-29,0.6664832234382629,3.552336533696211,2.8553249835968018,12
13,2022-12-14,-0.3327096700668335,4.8332731089731364,2.959193229675293,12
14,2023-01-13,0.015015125274658203,3.267208025962245,2.9337501525878906,16
15,2023-03-01,-0.1517866849899292,6.247472022926241,4.675570487976074,12
GLOBAL,,0.5127758012137917,3.650612586039011,2.682817974606076,222
