fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202.0,20,-0.10969257354736328,5.384033596132386,4.741219997406006
2,2022-04-20,210.0,12,0.23496663570404053,4.594084020395164,3.7491557598114014
3,2022-05-05,202.0,20,0.2252843976020813,3.280365888377896,2.752877712249756
4,2022-05-18,210.0,12,-3.252718925476074,6.201009778885374,5.375057220458984
5,2022-06-02,206.0,16,-1.3295271396636963,7.059217652369517,5.838923454284668
6,2022-06-22,210.0,12,-51.84567642211914,24.124783687906536,23.85206413269043
7,2022-07-06,206.0,16,0.18941164016723633,3.6919037983140703,3.057025909423828
8,2022-08-03,204.0,18,0.5966771841049194,2.3119427808657096,1.7048144340515137
9,2022-08-24,210.0,12,-11.26124095916748,14.235312404815545,12.158339500427246
10,2022-11-03,202.0,20,0.39386534690856934,3.3126682742580607,2.689082384109497
11,2022-11-16,210.0,12,-2.125744104385376,9.844753250586903,9.677559852600098
12,2022-11-29,210.0,12,-0.7225009202957153,8.073000671605943,6.089818477630615
13,2022-12-14,210.0,12,-4.702004432678223,9.997406050900505,9.001022338867188
14,2023-01-13,206.0,16,-18.592029571533203,14.571414691052919,13.388211250305176
15,2023-03-01,210.0,12,-1.6019434928894043,9.390035144224202,7.847268581390381
GLOBAL,,,222,-2.269967136449634,9.457427390885812,6.864415641303535
