fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7779181545255438,2.408590366878108,2.1348357684732266,20
2,2022-04-20,0.7097843256229539,2.8295617254159504,2.57726619639539,12
3,2022-05-05,0.5072717962569988,2.6161030026038654,2.3323647130315823,20
4,2022-05-18,0.15124693012417367,2.7702551750209996,2.3721733189405154,12
5,2022-06-02,0.6132703681522189,2.8762486105381715,2.473171763370556,16
6,2022-06-22,-0.07448581233876239,3.4400047189499467,2.7313257535784827,12
7,2022-07-06,-0.19197506934181585,4.476965660128111,3.743618415357151,16
8,2022-08-03,0.6192296017855605,2.2463751336338964,1.6311090988614996,18
9,2022-08-24,-0.6668037014051118,5.248582538616708,3.211149793587016,12
10,2022-11-03,0.7869068759275262,1.9641656102586778,1.7545973606468812,20
11,2022-11-16,0.8776801809173764,1.9474959251916775,1.4532605591486683,12
12,2022-11-29,0.36077289626810716,4.917935806935216,3.671597711982622,12
13,2022-12-14,0.7201159580819793,2.2149434179987537,1.9446330617436132,12
14,2023-01-13,0.6367553865537812,1.9840910164118573,1.627703436667872,16
15,2023-03-01,-0.08623471760558288,6.067085542831581,3.8210589817884304,12
GLOBAL,,0.599163199705128,3.311197725368225,2.4355738873641752,222
