fold,date,r2,rmse,mae,n_test
1,2022-04-06,-0.8658781051635742,6.981488956470275,6.250056743621826,20
2,2022-04-20,-0.09268128871917725,5.490419018984646,4.978079319000244,12
3,2022-05-05,-5.021759033203125,9.145612871877209,8.448623657226562,20
4,2022-05-18,-13.4385347366333,11.4259061157707,11.053374290466309,12
5,2022-06-02,-0.5124771595001221,5.688098247210738,4.596552848815918,16
6,2022-06-22,-8.7472562789917,10.360957190285355,9.51290225982666,12
7,2022-07-06,-7.0771636962890625,11.654123884515085,11.350842475891113,16
8,2022-08-03,-5.329615592956543,9.15881686636443,8.66474723815918,18
9,2022-08-24,-6.765071868896484,11.328502822363115,10.09447956085205,12
10,2022-11-03,-12.10876178741455,15.405444265346434,14.6998929977417,20
11,2022-11-16,-0.36049067974090576,6.494951782047581,6.23631477355957,12
12,2022-11-29,-3.9066319465637207,13.62532924989223,8.52169418334961,12
13,2022-12-14,-5.3042097091674805,10.51208563497143,10.0999174118042,12
14,2023-01-13,-88.07892608642578,31.070589482044248,26.966842651367188,16
15,2023-03-01,-1.294929027557373,8.818666721872692,6.728485107421875,12
GLOBAL,,-5.058767001147139,12.873405442762675,10.077782106829119,222
