fold,date,r2,rmse,mae,n_test
1,2022-04-06,-0.043268783418561885,5.220408700429707,4.064051517801978,20
2,2022-04-20,-0.002628746915979363,5.259310800849913,4.437844450833334,12
3,2022-05-05,-0.20996541601505347,4.099563166180006,3.423954804222774,20
4,2022-05-18,-0.24506815926770953,3.3552563883190074,2.6136987571587316,12
5,2022-06-02,-0.04119819890173515,4.7194282961657,3.8626700377305823,16
6,2022-06-22,-1.0010050650667321,4.6944291575698225,4.021025740761903,12
7,2022-07-06,-2.1202002078466107,7.243381979364,6.047666778082521,16
8,2022-08-03,-0.07742303498710235,3.7787122831146815,2.627969517145968,18
9,2022-08-24,-1.8317586108666322,6.84113204361989,5.502169675500007,12
10,2022-11-03,-0.3390956048982863,4.923786609079281,4.441733988841582,20
11,2022-11-16,-0.6588738838895036,7.171910095435735,6.792600977619048,12
12,2022-11-29,-0.5416910274077253,7.637547199461931,6.855345199357139,12
13,2022-12-14,-0.000900154029542577,4.18860050888861,3.519640507825395,12
14,2023-01-13,-0.52345638591233,4.063282097322748,3.7067576709405348,16
15,2023-03-01,-0.0006400957763703641,5.823140403221947,4.218910104499999,12
GLOBAL_OOF,ALL,-0.03927295766839345,5.3317052902199755,4.321200875120175,222
