fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7880823612213135,2.352826662642907,2.015310049057007,20
2,2022-04-20,0.6830580234527588,2.956981421671904,2.616442918777466,12
3,2022-05-05,0.4521961212158203,2.7584409348935472,2.4404120445251465,20
4,2022-05-18,0.1973927617073059,2.6938946961663524,2.2266149520874023,12
5,2022-06-02,0.648531436920166,2.741990476306539,2.387017250061035,16
6,2022-06-22,-0.10797417163848877,3.4932005093587146,2.7991220951080322,12
7,2022-07-06,0.10589492321014404,3.8774344887723995,3.1289937496185303,16
8,2022-08-03,0.48525887727737427,2.611831422521214,1.9141627550125122,18
9,2022-08-24,-0.3524904251098633,4.727884911532253,3.241722345352173,12
10,2022-11-03,0.8326793313026428,1.740476580717863,1.4729543924331665,20
11,2022-11-16,0.951481819152832,1.2265359183182798,0.9799773097038269,12
12,2022-11-29,0.5354856252670288,4.192323781576895,3.0055017471313477,12
13,2022-12-14,0.7248992323875427,2.195935035488124,1.7779439687728882,12
14,2023-01-13,0.6968158483505249,1.8126554751306152,1.4859416484832764,16
15,2023-03-01,-0.012008428573608398,5.856125400972393,3.4266788959503174,12
GLOBAL,,0.6435110006470789,3.122657756325554,2.2790439536979608,222
