fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202.0,20,0.188521146774292,4.604102892311722,3.7071692943573
2,2022-04-20,210.0,12,0.527510404586792,3.6103962035717267,2.9549081325531006
3,2022-05-05,202.0,20,-0.09903538227081299,3.9071219729893776,3.2110259532928467
4,2022-05-18,210.0,12,-7.078484535217285,8.546613002297176,7.782398223876953
5,2022-06-02,206.0,16,-1.9641079902648926,7.96287122307239,6.7054901123046875
6,2022-06-22,210.0,12,-6.387130260467529,9.019793044462906,8.208971977233887
7,2022-07-06,206.0,16,-0.17492973804473877,4.444840069222603,3.635995388031006
8,2022-08-03,204.0,18,0.578717827796936,2.36285608423723,2.020543098449707
9,2022-08-24,210.0,12,-8.496156692504883,12.527768838282006,10.843558311462402
10,2022-11-03,202.0,20,-0.6346516609191895,5.4400889930738705,4.570254325866699
11,2022-11-16,210.0,12,-2.788999557495117,10.839029741395827,10.55273151397705
12,2022-11-29,210.0,12,-1.3084385395050049,9.345755575545084,6.874107360839844
13,2022-12-14,210.0,12,-3.955655574798584,9.320176205913564,7.879357814788818
14,2023-01-13,206.0,16,-20.127513885498047,15.131646831718077,13.35089111328125
15,2023-03-01,210.0,12,-1.2484843730926514,8.728974721857329,7.572108745574951
GLOBAL,,,222,-1.4246000232810943,8.143692641638351,6.29384893984408
