fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7982626803922228,2.295617472454976,1.9326698222949221,20
2,2022-04-20,0.5862171710059259,3.378663907104285,2.9962538556616214,12
3,2022-05-18,-0.06756396030988943,3.1068915974326408,2.7904200921875,12
4,2022-06-02,0.5775603570407974,3.0061110600368597,2.4192781404431147,16
5,2022-06-22,-0.027325809593632844,3.3636654562816783,2.724435639605307,12
6,2022-07-06,0.3744070175798898,3.2433669862117873,2.3616219513616956,16
7,2022-08-03,0.6732817861648495,2.080833687400299,1.73575761000217,18
8,2022-08-24,-0.2856063215008775,4.609500407803029,3.2397906686482756,12
9,2022-11-03,0.715000551071395,2.2715141195053685,1.5255211007260745,20
10,2022-11-29,0.6937773640629498,3.403877169844128,2.499095357285969,12
11,2022-12-14,0.6881848939074209,2.3378795852130976,1.8284880957096359,12
12,2023-01-13,0.70531895671152,1.7870555856705332,1.6312553074041745,16
13,2023-03-01,-0.04132325932517622,5.940337164468603,3.6542841923103846,12
