fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,0.4869470000267029,3.6608971952140066,2.9709858894348145
2,2022-04-20,178,12,0.6668515205383301,3.031640096516189,2.4365108013153076
3,2022-05-18,178,12,-3.568570137023926,6.427161943232117,5.033150672912598
4,2022-06-02,174,16,0.1370132565498352,4.2965982243956535,3.539325475692749
5,2022-06-22,178,12,-71.83572387695312,28.32245681537168,28.190839767456055
6,2022-07-06,174,16,0.02781599760055542,4.04319259834714,3.1922974586486816
7,2022-08-03,172,18,-1.0768494606018066,5.246300983667489,4.9098219871521
8,2022-08-24,178,12,-24.02287483215332,20.336134087121255,19.653684616088867
9,2022-11-03,170,20,0.5572798252105713,2.8311183536735665,2.3219308853149414
10,2022-11-29,178,12,-0.26678168773651123,6.923188440125708,5.740736484527588
11,2022-12-14,178,12,-1.9487669467926025,7.189418901456849,6.398840427398682
12,2023-01-13,174,16,-13.211905479431152,12.410467934589281,10.59908676147461
13,2023-03-01,178,12,-0.9151773452758789,8.056061768977813,6.64548921585083
