fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,-1.5381333442186627,8.142609653705266,5.817833796383465
2,2022-04-20,178,12,0.22191640624076958,4.633102295831565,4.119855900303874
3,2022-05-18,178,12,-1.5248232100549273,4.777983387814368,3.7626407025712054
4,2022-06-02,174,16,-1.2708157310230437,6.969692779968007,4.637574808117606
5,2022-06-22,178,12,-15.34288480671102,13.416000180253,11.833694714908326
6,2022-07-06,174,16,-2.749759423473291,7.940573319754339,5.821168323886697
7,2022-08-03,172,18,-72.15371351242631,31.13643497592113,23.312105681549944
8,2022-08-24,178,12,-6.342496629328814,11.01594441912633,9.58353403238831
9,2022-11-03,170,20,-1.6053017332154766,6.867875990760365,5.772974443870869
10,2022-11-29,178,12,-7.379938137295078,17.80638015439484,12.926567605981456
11,2022-12-14,178,12,-11.139975172422549,14.587553518694836,11.105343699311662
12,2023-01-13,174,16,-48.330078983602135,23.121599127805723,19.54948883005614
13,2023-03-01,178,12,-0.3157393649911,6.677336230192002,5.22082198198279
