fold,date,r2,rmse,mae,n_test
1,2022-04-06,0.7544608962429147,2.5326007527218213,2.092036240144531,20
2,2022-04-20,0.6404875017218992,3.1493124981414056,2.853414423898926,12
3,2022-05-18,-0.023464848541966177,3.0420448595091147,2.436125080040691,12
4,2022-06-02,0.45397644708567175,3.4176562288318246,2.677466626542358,16
5,2022-06-22,-0.4317607975505038,3.9709455237665034,3.210290729186198,12
6,2022-07-06,0.3339459848747437,3.346608292988004,2.7125101300305188,16
7,2022-08-03,0.3896696866494971,2.844023413812949,2.3232722749267576,18
8,2022-08-24,-0.589593821550503,5.125579112278584,3.48217213433024,12
9,2022-11-03,0.6597256471391673,2.4820357862679145,1.8121983121000977,20
10,2022-11-29,0.6634563503472627,3.5684197535998425,2.682452484780272,12
11,2022-12-14,0.6785908882606231,2.3735733403281283,1.830170694979655,12
12,2023-01-13,0.6195091712902467,2.03064524461522,1.7359716603259274,16
13,2023-03-01,-0.08215990363236592,6.055695512809902,3.712499190612793,12
