fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,170,20,0.8308373093605042,2.1021256950755176,1.919358253479004
2,2022-04-20,178,12,0.2989906668663025,4.397649718181661,3.982028007507324
3,2022-05-18,178,12,-0.41942787170410156,3.582496205212752,3.2469921112060547
4,2022-06-02,174,16,0.48564833402633667,3.317055646492273,2.8295373916625977
5,2022-06-22,178,12,-2.1058754920959473,5.848583812957416,4.203296184539795
6,2022-07-06,174,16,0.4244074821472168,3.1110554663662184,2.499924659729004
7,2022-08-03,172,18,-0.14686846733093262,3.8985895345088,3.509253978729248
8,2022-08-24,178,12,-1.479217290878296,6.401136488143629,5.4499125480651855
9,2022-11-03,170,20,0.3662875294685364,3.3871898213510647,2.846083879470825
10,2022-11-29,178,12,-0.9862359762191772,8.669033265384765,6.704320430755615
11,2022-12-14,178,12,0.8049184679985046,1.8491904601047209,1.3803526163101196
12,2023-01-13,174,16,-8.207024574279785,9.988991972783051,8.508918762207031
13,2023-03-01,178,12,-1.1339526176452637,8.503753730832546,7.232077121734619
