fold,date,n_train,n_test,R2,RMSE,MAE
1,2022-04-06,202,20,-13.64240047066984,19.557463968604335,14.8788425878249
2,2022-04-20,210,12,-3.3381210354907527,10.939805296340857,8.974998925175244
3,2022-05-05,202,20,-3.3866794835028573,7.805829403624401,6.649458122868003
4,2022-05-18,210,12,-9.766431777297306,9.866543725671486,6.838380941537104
5,2022-06-02,206,16,-12.487422568522748,16.98584552746484,16.107314942638567
6,2022-06-22,210,12,-540.7906673121591,77.24572533175477,70.92496320116366
7,2022-07-06,206,16,-3.8634152262860564,9.043172864102715,7.953513083350792
8,2022-08-03,204,18,-3.964999821366039,8.111670773538302,7.684393544597851
9,2022-08-24,210,12,-77.69941018458489,36.06497179484122,35.77010720137442
10,2022-11-03,202,20,-0.5352828494031294,5.272148443023371,4.31252309539521
11,2022-11-16,210,12,-1.4578883842808428,8.72989922419036,7.650662908552699
12,2022-11-29,210,12,-1.2024169896646204,9.128617479902848,8.768982417269049
13,2022-12-14,210,12,-0.96374093345673,5.86699420937295,5.159667111901261
14,2023-01-13,206,16,-21.41372210021722,15.58543590242598,15.421229310444417
15,2023-03-01,210,12,0.02227553388014869,5.75607643766409,4.719460779391795
