heldout_date,model,r2,rmse,mae
2022-04-06,naive-last,-0.04688530405957758,5.229449219349986,4.08582094758333
2022-04-20,naive-last,-0.005628668838657536,5.267173001904712,4.437844450833334
2022-05-05,naive-last,-0.20640684957582534,4.093530220970263,3.418141350166664
2022-05-18,naive-last,-0.1780441731632021,3.2636977814438985,2.577068453472224
2022-06-02,naive-last,-0.025034403317413245,4.682652273617961,3.8367978544791677
2022-06-22,naive-last,-0.8180128295241,4.474630385918259,3.8616290237500053
2022-07-06,naive-last,-1.7349432589079479,6.781477386069809,5.549221361979175
2022-07-21,naive-last,-2.0411714167921504,5.822591606687592,4.770189356666674
2022-08-03,naive-last,-0.04727116251906183,3.725463130068203,2.5893559617592605
2022-08-24,naive-last,-1.5525090619543955,6.495065040919366,5.110888581527785
2022-09-08,naive-last,-1.0479926102219053,5.095311342193899,4.1571459034523865
2022-10-13,naive-last,-0.09234724614920453,4.394669453228031,3.6051012335185155
2022-11-03,naive-last,-0.31651945105576385,4.882104493739182,4.408173496666663
2022-11-16,naive-last,-0.6286170621429383,7.106203528510818,6.740100366249995
2022-11-29,naive-last,-0.5167628181506896,7.575548302986013,6.820213090555551
2022-12-08,naive-last,-0.6450671861713289,6.444746499690849,6.040223526203699
2022-12-14,naive-last,-0.0038015848000463315,4.194667117929842,3.563816544722219
2023-01-13,naive-last,-0.5093369421763851,4.044408950440724,3.682501108749994
2023-01-26,naive-last,-0.0059468366764274805,5.012826502352846,4.260656623888887
2023-02-09,naive-last,-0.4001200227530133,6.518209065114776,6.15259872708333
2023-03-01,naive-last,-0.3582984819835211,6.784469879773108,4.219569757083332
__mean__,naive-last,-0.5324151129015978,5.328042627757625,4.470812272399629
