fold,n_train,n_test,r2,rmse,mae
1,170,20,0.4501166533314054,1.2718407873803779,1.1433403132192261
2,178,12,0.35651520481168186,1.324581522673818,1.0791446370516677
3,178,12,0.3507250872273998,1.0293475398142247,0.902875054301368
4,174,16,0.347509376354009,1.0824746155656617,0.9409293488307046
5,178,12,-0.9137497618126718,1.6617733390612033,1.1738432297300483
6,174,16,0.6635382870251494,0.7279338096607028,0.646612312414081
7,172,18,0.3693143604097531,0.9025081929892594,0.7815328534703817
8,178,12,0.6291007903532044,0.8340047014611384,0.7364109861922395
9,170,20,0.16215024322528193,1.822869699377167,1.3497681523679164
10,178,12,0.5870073219115794,1.0354973304124528,0.9612870804937422
11,178,12,0.004653770699371895,1.4183767883798102,1.3096060385591288
12,174,16,-2.27139524170411,4.722232457596049,4.361991137843159
13,178,12,0.019572703514688428,2.0485989558985644,1.8031887877992716
