fold,r2,rmse,mae,n_train,n_test,feats
2022-04-06,0.43203354,1.2925842,1.1630379,170.0,20.0,15
2022-04-20,0.64297366,0.9866422,0.82182044,178.0,12.0,15
2022-05-18,0.42305374,0.9703209,0.82795334,178.0,12.0,15
2022-06-02,0.5071547,0.9407752,0.78138155,174.0,16.0,15
2022-06-22,0.06418353,1.1620493,1.077689,178.0,12.0,15
2022-07-06,0.7280296,0.65446275,0.55373514,174.0,16.0,15
2022-08-03,0.5890752,0.72849375,0.61295915,172.0,18.0,15
2022-08-24,0.26418924,1.174691,1.110487,178.0,12.0,15
2022-11-03,0.21387458,1.7657062,1.1743298,170.0,20.0,15
2022-11-29,0.05560565,1.5658656,1.4235142,178.0,12.0,15
2022-12-14,0.7313993,0.7368143,0.65380484,178.0,12.0,15
2023-01-13,-0.14441729,2.7930136,2.3664725,174.0,16.0,15
2023-03-01,-0.003533721,2.0725987,1.8790761,178.0,12.0,15
__mean__,0.34643242,1.2956936,1.1112508,175.3846153846154,14.615384615384615,15
