fold,n_train,n_test,r2,rmse,mae
1,170,20,0.5761433256488669,1.1166240513779513,0.8491527014952147
2,178,12,0.8434951672554938,0.6532409837697705,0.5288320854464926
3,178,12,0.5976030305766036,0.8103545411733829,0.6671293429018962
4,174,16,0.8225286033600667,0.5645400621274563,0.4859944086554336
5,178,12,-0.03927145941651955,1.224598470261693,0.8534013004015298
6,174,16,0.802181726034667,0.5581581485361606,0.4717565553624725
7,172,18,0.5788105299989925,0.7375363580436722,0.5907428844826321
8,178,12,0.8863798962334072,0.4616024824001592,0.3983269642011718
9,170,20,0.28873788934213895,1.6795285436084717,0.974950518423047
10,178,12,0.8516437171393068,0.620627162625759,0.5096424966797485
11,178,12,0.17839853353173163,1.2886504524291134,1.2182742744323933
12,174,16,-2.6217058556068786,4.968638963766523,4.625101506889794
13,178,12,0.18950514280376085,1.8626205138311733,1.7672197980329791
