feature,importance,rank
Animals,0.2628511,1
RAD_SOL,0.12516126,2
B9,0.09081114,3
DM,0.082935974,4
Wind_Dir,0.06730112,5
DOY,0.05728188,6
GEMI,0.05649496,7
DVI,0.033386227,8
TP_SFC_AVG,0.022307126,9
B6,0.021464875,10
Radiative_Direct_AVG,0.019734656,11
Longwave_Rad_AVG,0.015935455,12
Biomass,0.014026583,13
ADF,0.0133893825,14
Radiative_Dif_AVG,0.0099989725,15
NDF,0.0087841,16
PPFD,0.008352261,17
TDN_based_NDF,0.007479798,18
Sample,0.0073026647,19
TDN_based_ADF,0.0066394215,20
B3,0.0058011054,21
NDVI,0.0055576186,22
MM,0.0050853286,23
B4,0.004807298,24
LAI,0.004690427,25
B11,0.0045091817,26
EVAPOT,0.0043751122,27
B7,0.0040276903,28
lat,0.003518106,29
B8,0.0033589764,30
PRES_ATM,0.0033538272,31
lon,0.0033090273,32
B1,0.0029672475,33
HUM_REL,0.0023303833,34
B2,0.0022861531,35
NDWI,0.002104439,36
B5,0.0015167759,37
EVI,0.0014201254,38
B12,0.00092346536,39
WIND_SPD,0.0007989075,40
B8A,0.00055883126,41
GCI,0.0005080276,42
SAVI,0.00042221104,43
Sub-Sample,9.199629e-05,44
Dew_Point,3.874239e-05,45
