feature,importance,rank
Animals,0.4573838,1
Radiative_Dif_AVG,0.1099756,2
Wind_Dir,0.05958746,3
RAD_SOL,0.042897172,4
TEMP_MAX,0.037172057,5
NDF,0.03491067,6
PRES_ATM,0.02594746,7
B1,0.02073408,8
TP_SFC_AVG,0.019459099,9
B8,0.017168265,10
PPFD,0.014766194,11
DM,0.014028411,12
Biomass,0.011277041,13
TEMP_MIN,0.011187335,14
B11,0.010960938,15
B12,0.010359334,16
GCI,0.008296391,17
B6,0.0077875187,18
HUM_REL,0.007667306,19
B4,0.007454345,20
B7,0.006534918,21
EVAPOT,0.006151778,22
B5,0.0058524646,23
NDWI,0.005438635,24
lat,0.004842148,25
B3,0.0046562394,26
B9,0.0037595762,27
B8A,0.0035444617,28
RAIN,0.0030976639,29
Sample,0.0030496027,30
WIND_SPD,0.003029415,31
lon,0.0028421853,32
EVI,0.0021662423,33
B2,0.0021403374,34
MM,0.0020664143,35
Dew_Point,0.0020407415,36
SAVI,0.0019947311,37
NDVI,0.0017923692,38
Radiative_Direct_AVG,0.0014714353,39
Longwave_Rad_AVG,0.0013466246,40
DVI,0.0011511166,41
DOY,0.0008501678,42
Sub-Sample,0.00059120986,43
GEMI,0.00042030885,44
LAI,0.00014870931,45
