feature,importance,rank
Animals,0.30894685,1
PRES_ATM,0.11162275,2
Wind_Dir,0.0868566,3
NDF,0.06977335,4
RAD_SOL,0.04862102,5
Radiative_Dif_AVG,0.03988582,6
EVAPOT,0.036311425,7
DM,0.028505763,8
Radiative_Direct_AVG,0.028490147,9
TP_SFC_AVG,0.022778615,10
B1,0.0203549,11
GCI,0.018700425,12
B8,0.01846594,13
B12,0.016728366,14
Biomass,0.012072241,15
NDWI,0.010510259,16
B5,0.0084541915,17
EVI,0.008152637,18
B7,0.008032648,19
B8A,0.007195173,20
lat,0.006792547,21
lon,0.0066327797,22
B11,0.006326958,23
SAVI,0.0061093895,24
B6,0.006065788,25
HUM_REL,0.0059236563,26
B3,0.0054721255,27
B9,0.004789099,28
Dew_Point,0.004467256,29
Sample,0.0043235887,30
B4,0.004007061,31
B2,0.0038770677,32
GEMI,0.003819333,33
Longwave_Rad_AVG,0.0037948894,34
NDVI,0.002934527,35
PPFD,0.0028533489,36
MM,0.0028436966,37
WIND_SPD,0.0024753816,38
LAI,0.0021598565,39
DVI,0.00165863,40
Sub-Sample,0.0013144627,41
DOY,0.00089943607,42
