scenario,target_col,delta_max_days,use_climate,rank,feature,importance
CP_D5_noclim,CP,5,False,1,Animals,0.2628510892391205
CP_D5_noclim,CP,5,False,2,RAD_SOL,0.12516126036643982
CP_D5_noclim,CP,5,False,3,B9,0.09081114083528519
CP_D5_noclim,CP,5,False,4,DM,0.08293597400188446
CP_D5_noclim,CP,5,False,5,Wind_Dir,0.06730111688375473
CP_D5_noclim,CP,5,False,6,DOY,0.05728188157081604
CP_D5_noclim,CP,5,False,7,GEMI,0.05649495869874954
CP_D5_noclim,CP,5,False,8,DVI,0.0333862267434597
CP_D5_noclim,CP,5,False,9,TP_SFC_AVG,0.022307125851511955
CP_D5_noclim,CP,5,False,10,B6,0.0214648749679327
CP_D5_noclim,CP,5,False,11,Radiative_Direct_AVG,0.019734656438231468
CP_D5_noclim,CP,5,False,12,Longwave_Rad_AVG,0.01593545451760292
CP_D5_noclim,CP,5,False,13,Biomass,0.014026583172380924
CP_D5_noclim,CP,5,False,14,ADF,0.013389382511377335
CP_D5_noclim,CP,5,False,15,Radiative_Dif_AVG,0.009998972527682781
CP_D5_noclim,CP,5,False,16,NDF,0.008784100413322449
CP_D5_noclim,CP,5,False,17,PPFD,0.008352261036634445
CP_D5_noclim,CP,5,False,18,TDN_based_NDF,0.007479798048734665
CP_D5_noclim,CP,5,False,19,Sample,0.007302664685994387
CP_D5_noclim,CP,5,False,20,TDN_based_ADF,0.006639421451836824
CP_D5_noclim,CP,5,False,21,B3,0.005801105406135321
CP_D5_noclim,CP,5,False,22,NDVI,0.005557618569582701
CP_D5_noclim,CP,5,False,23,MM,0.005085328593850136
CP_D5_noclim,CP,5,False,24,B4,0.004807298071682453
CP_D5_noclim,CP,5,False,25,LAI,0.004690426867455244
CP_D5_noclim,CP,5,False,26,B11,0.0045091817155480385
CP_D5_noclim,CP,5,False,27,EVAPOT,0.004375112242996693
CP_D5_noclim,CP,5,False,28,B7,0.004027690272778273
CP_D5_noclim,CP,5,False,29,lat,0.003518105950206518
CP_D5_noclim,CP,5,False,30,B8,0.003358976449817419
CP_D5_noclim,CP,5,False,31,PRES_ATM,0.00335382716730237
CP_D5_noclim,CP,5,False,32,lon,0.0033090272918343544
CP_D5_noclim,CP,5,False,33,B1,0.0029672475066035986
CP_D5_noclim,CP,5,False,34,HUM_REL,0.002330383285880089
CP_D5_noclim,CP,5,False,35,B2,0.002286153146997094
CP_D5_noclim,CP,5,False,36,NDWI,0.0021044390741735697
CP_D5_noclim,CP,5,False,37,B5,0.0015167759265750647
CP_D5_noclim,CP,5,False,38,EVI,0.0014201253652572632
CP_D5_noclim,CP,5,False,39,B12,0.0009234653552994132
CP_D5_noclim,CP,5,False,40,WIND_SPD,0.0007989074802026153
CP_D5_noclim,CP,5,False,41,B8A,0.000558831263333559
CP_D5_noclim,CP,5,False,42,GCI,0.0005080276168882847
CP_D5_noclim,CP,5,False,43,SAVI,0.0004222110437694937
CP_D5_noclim,CP,5,False,44,Sub-Sample,9.199629130307585e-05
CP_D5_noclim,CP,5,False,45,Dew_Point,3.874238973367028e-05
CP_D5_clim,CP,5,True,1,Animals,0.24633491039276123
CP_D5_clim,CP,5,True,2,RAD_SOL,0.14430256187915802
CP_D5_clim,CP,5,True,3,GEMI,0.11182504147291183
CP_D5_clim,CP,5,True,4,DM,0.09452928602695465
CP_D5_clim,CP,5,True,5,B9,0.055964335799217224
CP_D5_clim,CP,5,True,6,Radiative_Dif_AVG,0.04155536741018295
CP_D5_clim,CP,5,True,7,DOY,0.039564795792102814
CP_D5_clim,CP,5,True,8,DVI,0.03478424996137619
CP_D5_clim,CP,5,True,9,TP_SFC_AVG,0.024781793355941772
CP_D5_clim,CP,5,True,10,Wind_Dir,0.018262742087244987
CP_D5_clim,CP,5,True,11,Longwave_Rad_AVG,0.01571064256131649
CP_D5_clim,CP,5,True,12,Radiative_Direct_AVG,0.015505978837609291
CP_D5_clim,CP,5,True,13,Biomass,0.01446480117738247
