feature,times_in_topK,mean_rank,mean_importance,freq_in_topK
Animals,4,1.0,0.28021252155303955,1.0
RAD_SOL,4,3.0,0.10151068866252895,1.0
DM,4,3.5,0.08825279772281643,1.0
GEMI,4,5.0,0.0743097430095076,1.0
DOY,4,6.25,0.04930731095373625,1.0
B9,4,7.0,0.0546134929172694,1.0
TP_SFC_AVG,4,7.5,0.03679433790966863,1.0
Radiative_Dif_AVG,4,9.0,0.036857184255495626,1.0
Longwave_Rad_AVG,4,10.75,0.022301825461909123,1.0
ADF,4,12.75,0.0160578850191086,1.0
Biomass,4,13.75,0.0130571741610765,1.0
Wind_Dir,2,7.5,0.0427819294854998,0.5
DVI,2,8.0,0.034085238352417904,0.5
TEMP_MIN,2,9.0,0.0335138193331658,0.5
Radiative_Direct_AVG,2,11.5,0.0176203176379203,0.5
WIND_SPD,2,12.5,0.01510030031204215,0.5
PPFD,1,8.0,0.0390706472098827,0.25
B7,1,9.0,0.0271920356899499,0.25
TDN_based_ADF,1,10.0,0.0409357398748397,0.25
B6,1,10.0,0.0214648749679327,0.25
TDN_based_NDF,1,13.0,0.0133607955649495,0.25
EVAPOT,1,15.0,0.0088312374427914,0.25
