feature,times_in_topK,mean_rank,mean_importance,freq_in_topK
Animals,4,1.0,0.389570951461792,1.0
Radiative_Dif_AVG,4,3.5,0.0915070921182632,1.0
PRES_ATM,4,3.75,0.06946686515584582,1.0
Wind_Dir,4,4.0,0.06032359972596165,1.0
NDF,4,4.75,0.050966848619282204,1.0
RAD_SOL,4,6.25,0.038156122434884275,1.0
DM,4,8.75,0.02231105323880905,1.0
TP_SFC_AVG,4,9.75,0.02069477946497495,1.0
B1,4,9.75,0.019234465435147223,1.0
B8,3,10.666666666666666,0.018995811541875168,0.75
GCI,3,12.333333333333334,0.014985005060831667,0.75
Biomass,3,14.0,0.0109220414112011,0.75
TEMP_MAX,2,4.0,0.04998880997300145,0.5
EVAPOT,2,8.0,0.0281521081924438,0.5
Radiative_Direct_AVG,2,11.0,0.0201758299954235,0.5
B11,2,13.5,0.01269063912332055,0.5
HUM_REL,1,11.0,0.016831474378705,0.25
B6,1,11.0,0.0149692092090845,0.25
PPFD,1,11.0,0.0147661939263343,0.25
B12,1,14.0,0.0167283657938241,0.25
SAVI,1,14.0,0.0123162195086479,0.25
TEMP_MIN,1,14.0,0.0111873345449566,0.25
LAI,1,15.0,0.0122147193178534,0.25
