Sample,Sub_Sample,Date_std,granule_id,granule_time,cloud_cover
1,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
1,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
2,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
2,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
3,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
3,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
4,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
4,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
5,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
5,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
6,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
6,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
7,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
7,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
8,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
8,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0
9,1,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
9,2,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
10,1,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
10,2,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
11,1,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
11,2,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
12,1,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
12,2,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
13,1,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
13,2,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
14,1,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
14,2,2022-07-21,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0
15,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
15,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
16,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
16,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
17,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
17,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
18,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
18,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
19,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
19,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
20,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
20,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
21,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
21,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
22,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
22,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
23,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
23,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
24,1,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
24,2,2022-05-05,G2264181238-LPCLOUD,2022-05-03T13:58:03.418000,81
25,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
25,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
26,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
26,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
27,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
27,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
28,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
28,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
29,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
29,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
30,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
30,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
31,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
31,2,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
32,1,2022-06-02,G2401607053-LPCLOUD,2022-06-02T13:58:08.071000,99
