Sample,Sub_Sample,Date_std,granule_id,granule_time,cloud_cover,B10__2DAP5x5_IQR,B10__2DAP5x5_MED,B10__BUF30m_IQR,B10__BUF30m_MED,B11__2DAP5x5_IQR,B11__2DAP5x5_MED,B11__BUF30m_IQR,B11__BUF30m_MED,B12__2DAP5x5_IQR,B12__2DAP5x5_MED,B12__BUF30m_IQR,B12__BUF30m_MED,B1__2DAP5x5_IQR,B1__2DAP5x5_MED,B1__BUF30m_IQR,B1__BUF30m_MED,B2__2DAP5x5_IQR,B2__2DAP5x5_MED,B2__BUF30m_IQR,B2__BUF30m_MED,B3__2DAP5x5_IQR,B3__2DAP5x5_MED,B3__BUF30m_IQR,B3__BUF30m_MED,B4__2DAP5x5_IQR,B4__2DAP5x5_MED,B4__BUF30m_IQR,B4__BUF30m_MED,B5__2DAP5x5_IQR,B5__2DAP5x5_MED,B5__BUF30m_IQR,B5__BUF30m_MED,B6__2DAP5x5_IQR,B6__2DAP5x5_MED,B6__BUF30m_IQR,B6__BUF30m_MED,B7__2DAP5x5_IQR,B7__2DAP5x5_MED,B7__BUF30m_IQR,B7__BUF30m_MED,B8A__2DAP5x5_IQR,B8A__2DAP5x5_MED,B8A__BUF30m_IQR,B8A__BUF30m_MED,B8__2DAP5x5_IQR,B8__2DAP5x5_MED,B8__BUF30m_IQR,B8__BUF30m_MED,B9__2DAP5x5_IQR,B9__2DAP5x5_MED,B9__BUF30m_IQR,B9__BUF30m_MED
1,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,132.0,2434.0,33.0,2486.0,74.0,1685.0,68.0,1725.0,27.0,332.0,22.0,310.0,24.0,359.0,7.0,355.0,35.0,654.0,26.0,652.0,47.0,978.0,11.0,971.0,40.0,1326.0,25.0,1325.0,47.0,1943.0,65.0,1966.0,60.0,2162.0,77.0,2190.0,115.0,2333.0,104.0,2400.0,88.0,2133.0,101.0,2153.0,10.0,624.0,5.0,637.0
1,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,132.0,2434.0,33.0,2486.0,74.0,1685.0,68.0,1725.0,27.0,332.0,22.0,310.0,24.0,359.0,7.0,355.0,35.0,654.0,26.0,652.0,47.0,978.0,11.0,971.0,40.0,1326.0,25.0,1325.0,47.0,1943.0,65.0,1966.0,60.0,2162.0,77.0,2190.0,115.0,2333.0,104.0,2400.0,88.0,2133.0,101.0,2153.0,10.0,624.0,5.0,637.0
2,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,98.0,2348.0,89.0,2337.0,51.0,1685.0,18.0,1682.0,30.0,340.0,0.0,369.0,25.0,360.0,29.0,376.0,41.0,653.0,36.0,662.0,46.0,986.0,28.0,1000.0,29.0,1335.0,37.0,1344.0,51.0,1904.0,88.0,1959.0,47.0,2110.0,111.0,2200.0,77.0,2288.0,142.0,2331.0,73.0,2066.0,128.0,2181.0,9.0,607.0,0.0,607.0
2,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,98.0,2348.0,89.0,2337.0,51.0,1685.0,18.0,1682.0,30.0,340.0,0.0,369.0,25.0,360.0,29.0,376.0,41.0,653.0,36.0,662.0,46.0,986.0,28.0,1000.0,29.0,1335.0,37.0,1344.0,51.0,1904.0,88.0,1959.0,47.0,2110.0,111.0,2200.0,77.0,2288.0,142.0,2331.0,73.0,2066.0,128.0,2181.0,9.0,607.0,0.0,607.0
3,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,130.0,2417.0,66.0,2342.0,39.0,1654.0,37.0,1654.0,28.0,332.0,20.0,339.0,13.0,357.0,10.0,359.0,10.0,651.0,22.0,647.0,74.0,971.0,6.0,984.0,49.0,1325.0,14.0,1335.0,62.0,1938.0,24.0,1925.0,77.0,2143.0,30.0,2139.0,122.0,2327.0,41.0,2306.0,103.0,2119.0,48.0,2085.0,30.0,622.0,15.0,607.0
3,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,130.0,2417.0,66.0,2342.0,39.0,1654.0,37.0,1654.0,28.0,332.0,20.0,339.0,13.0,357.0,10.0,359.0,10.0,651.0,22.0,647.0,74.0,971.0,6.0,984.0,49.0,1325.0,14.0,1335.0,62.0,1938.0,24.0,1925.0,77.0,2143.0,30.0,2139.0,122.0,2327.0,41.0,2306.0,103.0,2119.0,48.0,2085.0,30.0,622.0,15.0,607.0
4,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,166.0,2404.0,74.0,2314.0,108.0,1663.0,15.0,1663.0,21.0,339.0,2.0,341.0,22.0,367.0,15.0,367.0,26.0,656.0,6.0,651.0,91.0,985.0,5.0,986.0,91.0,1335.0,19.0,1336.0,45.0,1904.0,21.0,1923.0,60.0,2110.0,32.0,2111.0,60.0,2286.0,44.0,2292.0,70.0,2072.0,44.0,2089.0,15.0,609.0,0.0,609.0
4,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,166.0,2404.0,74.0,2314.0,108.0,1663.0,15.0,1663.0,21.0,339.0,2.0,341.0,22.0,367.0,15.0,367.0,26.0,656.0,6.0,651.0,91.0,985.0,5.0,986.0,91.0,1335.0,19.0,1336.0,45.0,1904.0,21.0,1923.0,60.0,2110.0,32.0,2111.0,60.0,2286.0,44.0,2292.0,70.0,2072.0,44.0,2089.0,15.0,609.0,0.0,609.0
5,1,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,130.0,2417.0,66.0,2342.0,39.0,1654.0,37.0,1654.0,28.0,332.0,20.0,339.0,13.0,357.0,10.0,359.0,10.0,651.0,22.0,647.0,74.0,971.0,6.0,984.0,49.0,1325.0,14.0,1335.0,62.0,1938.0,24.0,1925.0,77.0,2143.0,30.0,2139.0,122.0,2327.0,41.0,2306.0,103.0,2119.0,48.0,2085.0,30.0,622.0,15.0,607.0
5,2,2022-07-06,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,,,,,130.0,2417.0,66.0,2342.0,39.0,1654.0,37.0,1654.0,28.0,332.0,20.0,339.0,13.0,357.0,10.0,359.0,10.0,651.0,22.0,647.0,74.0,971.0,6.0,984.0,49.0,1325.0,14.0,1335.0,62.0,1938.0,24.0,1925.0,77.0,2143.0,30.0,2139.0,122.0,2327.0,41.0,2306.0,103.0,2119.0,48.0,2085.0,30.0,622.0,15.0,607.0
