Sample,Sub_Sample,Date_std,Lat,Lon,granule_id,granule_time,cloud_cover,has_result,download_url
1,1,2022-07-06,-20.44671667,-54.839505,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
1,2,2022-07-06,-20.44671667,-54.839505,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
2,1,2022-07-06,-20.44699567,-54.83885633,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
2,2,2022-07-06,-20.44699567,-54.83885633,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
3,1,2022-07-06,-20.446424,-54.83924633,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
3,2,2022-07-06,-20.446424,-54.83924633,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
4,1,2022-07-06,-20.44633333,-54.83876267,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
4,2,2022-07-06,-20.44633333,-54.83876267,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
5,1,2022-07-06,-20.446437,-54.839261,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
5,2,2022-07-06,-20.446437,-54.839261,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
6,1,2022-07-06,-20.44631867,-54.83876433,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
6,2,2022-07-06,-20.44631867,-54.83876433,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
7,1,2022-07-06,-20.446936,-54.83930267,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
7,2,2022-07-06,-20.446936,-54.83930267,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
8,1,2022-07-06,-20.447077,-54.83926867,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
8,2,2022-07-06,-20.447077,-54.83926867,G2335155143-LPCLOUD,2022-07-07T13:58:21.502000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022188T134721.v2.0/HLS.S30.T21KYT.2022188T134721.v2.0.B04.tif
9,1,2022-07-21,-20.44655467,-54.83886967,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022203T134709.v2.0/HLS.S30.T21KYT.2022203T134709.v2.0.B07.tif
9,2,2022-07-21,-20.44655467,-54.83886967,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022203T134709.v2.0/HLS.S30.T21KYT.2022203T134709.v2.0.B07.tif
10,1,2022-07-21,-20.44708367,-54.83894367,G2362361345-LPCLOUD,2022-07-22T13:58:13.448000,0,True,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T21KYT.2022203T134709.v2.0/HLS.S30.T21KYT.2022203T134709.v2.0.B07.tif
